[00:00.000 --> 00:05.000]  Welcome, Bobor.
[00:05.000 --> 00:09.000]  Hi, everyone. Thank you.
[00:09.000 --> 00:14.000]  Thank you. Hi, everyone.
[00:14.000 --> 00:16.000]  I am super excited to be here.
[00:16.000 --> 00:19.000]  Welcome to one of my sessions about
[00:19.000 --> 00:23.000]  observing your APIs with API gateway plugins.
[00:23.000 --> 00:25.000]  Let me introduce myself first.
[00:25.000 --> 00:27.000]  My name is Bobor.
[00:27.000 --> 00:30.000]  I am a developer advocate for Apache API 6.
[00:30.000 --> 00:33.000]  Sometimes it's so difficult to pronounce my name.
[00:33.000 --> 00:35.000]  People say it's from different countries.
[00:35.000 --> 00:38.000]  Is it like a Bebo or Bobor or like a Bebo?
[00:38.000 --> 00:43.000]  And then I say, okay, you can translate my first name as a tiger.
[00:43.000 --> 00:45.000]  It means tiger, Bobor.
[00:45.000 --> 00:49.000]  My last name, Murzokov, English version will be Livermore.
[00:49.000 --> 00:51.000]  In this case, Tiger Livermore.
[00:51.000 --> 00:53.000]  You can call me like Tiger Livermore.
[00:53.000 --> 00:55.000]  It's up to you.
[00:55.000 --> 00:58.000]  And you can also reach out to me on these social channels
[00:58.000 --> 01:01.000]  if you have any questions regarding sessions.
[01:01.000 --> 01:04.000]  So with that, we can get started.
[01:04.000 --> 01:07.000]  First thing first, what I want to do now is take a selfie
[01:07.000 --> 01:10.000]  because I have my TikTok account.
[01:10.000 --> 01:13.000]  I just start to run my blog recently.
[01:13.000 --> 01:18.000]  Just a moment. Maybe this is better.
[01:18.000 --> 01:21.000]  That was good. Thank you.
[01:21.000 --> 01:25.000]  I will just put some hashtags on that.
[01:25.000 --> 01:27.000]  So thank you Fabiano. Now I can leave.
[01:27.000 --> 01:30.000]  I did my job. I can go home.
[01:30.000 --> 01:33.000]  I did my Instagram picture, right?
[01:33.000 --> 01:37.000]  But I have today a very interesting agenda for you.
[01:37.000 --> 01:41.000]  We'll talk about what is APIs and API observability
[01:41.000 --> 01:47.000]  and how we can use API gateway for observing your APIs
[01:47.000 --> 01:49.000]  as a central point for observation.
[01:49.000 --> 01:53.000]  And then we will break down all API observability three pillars.
[01:53.000 --> 01:58.000]  We know that we have logging, tracing, and metrics, right?
[01:58.000 --> 02:01.000]  And we will learn how to enable these three pillars
[02:01.000 --> 02:04.000]  by using Apache API 6 plugins.
[02:04.000 --> 02:07.000]  And I have then a small demo for you.
[02:07.000 --> 02:09.000]  I hope you will like it.
[02:09.000 --> 02:11.000]  And that's good.
[02:11.000 --> 02:12.000]  APIs, right?
[02:12.000 --> 02:14.000]  API is just the three letters
[02:14.000 --> 02:16.000]  acronym for application program interface.
[02:16.000 --> 02:19.000]  By now, we are all familiar with this term, right?
[02:19.000 --> 02:24.000]  Because we are living in increasingly API-centric world.
[02:24.000 --> 02:27.000]  Even chat GPT uses API.
[02:27.000 --> 02:31.000]  Because under the hood, it calls some OpenAI API lists
[02:31.000 --> 02:34.000]  to collect some language models.
[02:34.000 --> 02:36.000]  Now my question to you.
[02:36.000 --> 02:40.000]  Who doesn't know what is API?
[02:40.000 --> 02:42.000]  Everybody knows. You don't know.
[02:42.000 --> 02:45.000]  You are lucky I have a brief for you.
[02:45.000 --> 02:50.000]  You will get this T-shirt because you don't know what's API 6.
[02:50.000 --> 02:53.000]  What is your size?
[02:53.000 --> 02:56.000]  I will handle it for you here.
[02:56.000 --> 02:58.000]  Actually, I have enough T-shirts.
[02:58.000 --> 03:01.000]  If you are first the three good,
[03:01.000 --> 03:04.000]  if I get the first three good answer, I will give it to you.
[03:04.000 --> 03:08.000]  And we have also some medals, stickers if you would like to get,
[03:08.000 --> 03:09.000]  please feel free.
[03:09.000 --> 03:13.000]  It's like free stuff from community, I would say.
[03:13.000 --> 03:17.000]  And we know that success of your services, right,
[03:17.000 --> 03:22.000]  depends on the performance, availability, and integrity of your APIs.
[03:22.000 --> 03:24.000]  Here, another question, Rice.
[03:24.000 --> 03:28.000]  How to achieve these three indicators of success?
[03:28.000 --> 03:32.000]  How to achieve these three indicators of success for your APIs?
[03:32.000 --> 03:35.000]  Let's say we have API should be all the time available, right?
[03:35.000 --> 03:37.000]  It should be integratable.
[03:37.000 --> 03:40.000]  It should be performance with a high performance.
[03:40.000 --> 03:43.000]  Do you have any idea?
[03:43.000 --> 03:47.000]  Yes, you got one T-shirt.
[03:47.000 --> 03:49.000]  Yes, monitoring, exactly.
[03:49.000 --> 03:52.000]  And what do you say, distributing?
[03:52.000 --> 03:55.000]  Yeah, distribute system, monitoring?
[03:55.000 --> 04:00.000]  Just placing it as a service in a distributed process.
[04:00.000 --> 04:01.000]  Yeah, this is also a rice solution.
[04:01.000 --> 04:04.000]  But you will get only the medal.
[04:04.000 --> 04:05.000]  Sorry.
[04:05.000 --> 04:09.000]  But one solution can be using by API gateways.
[04:09.000 --> 04:13.000]  Because API gateways, actually, nowadays, what we do,
[04:13.000 --> 04:17.000]  we build multiple microservices and maybe several less APIs
[04:17.000 --> 04:23.000]  or multiple REST APIs for our unique, maybe, the service, right?
[04:23.000 --> 04:27.000]  And in this flow, API gateways serves as a central point
[04:27.000 --> 04:32.000]  for routing all your incoming requests to the internet destinations.
[04:32.000 --> 04:35.000]  These destinations can be, as you can see, database,
[04:35.000 --> 04:38.000]  or maybe short-party API services.
[04:38.000 --> 04:42.000]  Or it can be also some serverless APIs like Azure Function
[04:42.000 --> 04:47.000]  or AWS Lambda, maybe any other open source functions, right?
[04:47.000 --> 04:51.000]  And it means it's accessed a single layer between your clients
[04:51.000 --> 04:54.000]  and the backend services, right?
[04:54.000 --> 04:58.000]  That can manage all the traffic coming to your backend services.
[04:58.000 --> 05:00.000]  It's a very straightforward term, right?
[05:00.000 --> 05:01.000]  API gateway term.
[05:01.000 --> 05:06.000]  And then it can also be a right point to learn
[05:06.000 --> 05:11.000]  for your API observabilities because it's uniquely identified
[05:11.000 --> 05:14.000]  to know all the traffic moving from client side
[05:14.000 --> 05:16.000]  to our backend service network.
[05:16.000 --> 05:21.000]  And instead of relying on, let's say, some other technologies,
[05:21.000 --> 05:26.000]  SDKs, APIs, and services to enable this observability
[05:26.000 --> 05:28.000]  and improve this observability,
[05:28.000 --> 05:31.000]  you can easily integrate this job with API gateway.
[05:31.000 --> 05:33.000]  We have a bunch of API gateways.
[05:33.000 --> 05:36.000]  I'm not selling anything, but we are talking about now
[05:36.000 --> 05:41.000]  API 6, what kind of plugins you can use today.
[05:41.000 --> 05:46.000]  And next, for example, you can ask, what is Apache API 6?
[05:46.000 --> 05:50.000]  Maybe you know the world's largest open source software
[05:50.000 --> 05:52.000]  software foundation, Apache software foundation.
[05:52.000 --> 05:55.000]  Maybe some of you are part of it, right?
[05:55.000 --> 05:57.000]  Who is a part of it, ASF?
[05:57.000 --> 06:00.000]  Who is contributing to open source projects of Apache
[06:00.000 --> 06:02.000]  software foundation?
[06:02.000 --> 06:05.000]  You, we have some people.
[06:05.000 --> 06:10.000]  And who knows Apache Kafka, Cassandra, Tomcat?
[06:10.000 --> 06:11.000]  Everybody knows.
[06:11.000 --> 06:15.000]  And Apache API 6 is also one of the top fastest growing
[06:15.000 --> 06:17.000]  project of ESF nowadays.
[06:17.000 --> 06:20.000]  You can, of course, you cannot compare it with Cassandra,
[06:20.000 --> 06:22.000]  Tomcat, but maybe in the future.
[06:22.000 --> 06:25.000]  It was initiated in 2019, but we are still,
[06:25.000 --> 06:27.000]  we have some open source community around the world.
[06:27.000 --> 06:30.000]  I am, for example, visiting Tallinn, Estonia.
[06:30.000 --> 06:33.000]  We have contributors from US, Canada.
[06:33.000 --> 06:36.000]  We have some with China, India, and so on.
[06:36.000 --> 06:37.000]  You can check it out.
[06:37.000 --> 06:41.000]  It's a very nice API gateway solution.
[06:41.000 --> 06:46.000]  And as you can see, API plugins, it's a very hard mechanism
[06:46.000 --> 06:50.000]  in API gateway that can be plugged into your API gateway
[06:50.000 --> 06:51.000]  solution.
[06:51.000 --> 06:54.000]  With that, you can extend further some functionalities.
[06:54.000 --> 06:58.000]  You can enable cross-captain constants like authorization,
[06:58.000 --> 07:02.000]  authentication, security, transformation, rate limiting,
[07:02.000 --> 07:03.000]  and so on.
[07:03.000 --> 07:07.000]  At the same time, you can enable some kind of observation,
[07:07.000 --> 07:08.000]  right?
[07:08.000 --> 07:11.000]  And when you're using API 6, for example, you should face
[07:11.000 --> 07:15.000]  with multiple types of plugins broken down into several
[07:15.000 --> 07:19.000]  categories, or sometimes you want something custom
[07:19.000 --> 07:20.000]  plugin, right?
[07:20.000 --> 07:22.000]  To fit your needs.
[07:22.000 --> 07:26.000]  And with API 6, similar API gateway nowadays, more than
[07:26.000 --> 07:29.000]  API gateway provides some language support.
[07:29.000 --> 07:31.000]  You can choose your favorite language, your familiar
[07:31.000 --> 07:34.000]  reach, and you can create some custom plugins.
[07:34.000 --> 07:38.000]  Maybe you are Java developer, or maybe you are Go developer
[07:38.000 --> 07:41.000]  or Python, you can choose your favorite language and write
[07:41.000 --> 07:42.000]  the plugins.
[07:42.000 --> 07:43.000]  Let me show you.
