[00:00.000 --> 00:08.000]  Please welcome our next speaker, John Sullivan.
[00:08.000 --> 00:13.000]  Hi, everybody.
[00:13.000 --> 00:16.000]  Sorry for the delay there.
[00:16.000 --> 00:26.000]  I was actually trying to do something fun and do this presentation from a pine phone,
[00:26.000 --> 00:29.000]  which actually has worked and I've done it before.
[00:29.000 --> 00:35.000]  And it is my single working free software device that has HDMI out right now.
[00:35.000 --> 00:38.000]  But the Bluetooth keyboard failed me.
[00:38.000 --> 00:39.000]  Nothing about the phone.
[00:39.000 --> 00:40.000]  So here we are.
[00:40.000 --> 00:44.000]  Thank you for the viral laptop.
[00:44.000 --> 00:46.000]  Quick note for people who might be watching on the stream.
[00:46.000 --> 00:50.000]  I did upload the slides in the FOSTA system.
[00:50.000 --> 00:55.000]  So you might be able to grab them from there and follow along.
[00:55.000 --> 01:01.000]  So reckoning with new app store changes.
[01:01.000 --> 01:06.000]  So even though I am no longer with the free software foundation,
[01:06.000 --> 01:12.000]  I am still with the same mission, the same goal that I worked toward there for many years.
[01:12.000 --> 01:19.000]  And that's to try and make sure that I work toward a world where everybody can do everything they need to do on any computer,
[01:19.000 --> 01:25.000]  including tiny ones using only free software.
[01:25.000 --> 01:28.000]  And I still want to devote lots of my time and energy to that,
[01:28.000 --> 01:36.000]  because we're seeing escalating consequences of what happens when we don't control the technology to be used towards our values and goals,
[01:36.000 --> 01:42.000]  but the technology actually pushes us into the technology owner's values and goals.
[01:42.000 --> 01:47.000]  So my current free software affiliations actually are fDroid.
[01:47.000 --> 01:54.000]  So I'm part of an exciting effort that we're about to have some big news on
[01:54.000 --> 01:59.000]  to found an actual formal organizational home for fDroid.
[01:59.000 --> 02:05.000]  So I think that will really help put the project in a position to take advantage of some of the opportunities
[02:05.000 --> 02:12.000]  that I think are being created by the current climate of various regulatory and social things going on.
[02:12.000 --> 02:15.000]  How many fDroid users do we have in the room already?
[02:15.000 --> 02:17.000]  Yeah.
[02:17.000 --> 02:20.000]  But if you don't have your hands up, please give it a try.
[02:20.000 --> 02:27.000]  It just is a free software app store and client that lets you install free software apps on your Android device.
[02:27.000 --> 02:31.000]  For Debian, I'm a Debian developer and user.
[02:31.000 --> 02:33.000]  Of course, I'm a member of the key ring team.
[02:33.000 --> 02:37.000]  Help manage the GPG key and infrastructure stuff there.
[02:37.000 --> 02:41.000]  I'm also looking to get a little bit more involved in the Debian mobile work.
[02:41.000 --> 02:45.000]  And a literative advising is the neighbor might do consulting company.
[02:45.000 --> 02:50.000]  I'm going to be working with companies and organizations to promote, advocate free software,
[02:50.000 --> 02:55.000]  work with free software communities, and follow best practices around those things.
[02:55.000 --> 02:59.000]  So why am I talking about app stores in particular here?
[02:59.000 --> 03:04.000]  I have a relatively long history working with free software on mobile stuff,
[03:04.000 --> 03:09.000]  largely through my history at the FSF, but also a lot in my spare time.
