[00:30.000 --> 00:36.000]  Okay, so we'll start now.
[00:36.000 --> 00:42.000]  The topic of this presentation is overview of secure boot state in the arm-based socks
[00:42.000 --> 00:47.000]  and this is the second edition of this presentation.
[00:47.000 --> 00:50.000]  No mic here.
[00:50.000 --> 00:55.000]  It's only for the video.
[00:55.000 --> 00:59.000]  Okay, so the first edition was taken place like two years ago.
[00:59.000 --> 01:07.000]  So now we want to present some update from the research that we have done two years ago.
[01:07.000 --> 01:09.000]  Maybe you can speak up a little bit.
[01:09.000 --> 01:11.000]  Okay.
[01:11.000 --> 01:15.000]  Okay.
[01:15.000 --> 01:21.000]  Sorry for some...
[01:21.000 --> 01:29.000]  A little technical issue.
[01:29.000 --> 01:37.000]  Okay.
[01:37.000 --> 01:45.000]  Sorry for that.
[01:45.000 --> 01:49.000]  Okay.
[01:49.000 --> 01:53.000]  Okay, so it is an agenda for this presentation.
[01:53.000 --> 02:01.000]  So first, I will tell you who I am and where I work.
[02:01.000 --> 02:07.000]  So say a couple of words about our company.
[02:07.000 --> 02:15.000]  Next, I will just present shortly what do I mean by secure boot in the case of arm socks
[02:15.000 --> 02:19.000]  and present how the typical implementation and workflow works.
[02:19.000 --> 02:27.000]  Later, we will show the results from the first edition, so from the 2028.
[02:27.000 --> 02:35.000]  Then we will discuss the two cases that we check for this edition,
[02:35.000 --> 02:39.000]  so the Mediatek and the Rockchip cases.
[02:39.000 --> 02:41.000]  Next, we will summarize the whole presentation.
[02:41.000 --> 02:47.000]  So try to look what was different between those two editions of the presentation
[02:47.000 --> 02:52.000]  and with some Q&A session.
[02:52.000 --> 02:55.000]  So this is me.
[02:55.000 --> 03:01.000]  I'm Tomasz Gieski and I'm an Embedded Systems Team Leader at 3MDep.
[03:01.000 --> 03:04.000]  I work there over three years now.
[03:04.000 --> 03:10.000]  Mostly, I work on the Embedded Systems built with the Yoctop project.
[03:10.000 --> 03:17.000]  So I try to integrate the update system and the OS creation for the Embedded Devices.
[03:17.000 --> 03:27.000]  But because I work with the Embedded Devices, I try to touch different areas of the whole life of the devices.
[03:27.000 --> 03:32.000]  So one of the things I work with is also the system security.
[03:32.000 --> 03:38.000]  And this is the topic of this presentation.
[03:38.000 --> 03:43.000]  So here are a couple of words about our company.
[03:43.000 --> 03:49.000]  We are from Poland and based in Gdańsk.
[03:49.000 --> 03:55.000]  We are the core boot license service providers since 2016.
[03:55.000 --> 03:59.000]  Also, UFI adopters since 2018.
[03:59.000 --> 04:05.000]  Yoctop recipients, so this is the area which I work with.
[04:05.000 --> 04:18.000]  From the 2019, also like the consultants for the FWPD project and IBM Open Power Foundation members.
[04:18.000 --> 04:26.000]  Okay, so now let's explain first what do you mean by the secure boot in the context of this presentation.
