[00:00.000 --> 00:08.640]  All right, everyone.
[00:08.640 --> 00:09.800]  Thank you.
[00:09.800 --> 00:16.880]  We have Emily O'Mear for the next talk, and she'll be doing her talk on do more awkward
[00:16.880 --> 00:19.840]  interview or more awkward user interviews.
[00:19.840 --> 00:23.400]  Do you feel awkward interviewing users about how they use your project?
[00:23.400 --> 00:24.400]  That's okay.
[00:24.400 --> 00:30.960]  Your interviews are often good interviews.
[00:30.960 --> 00:31.960]  I'll hand it over to Emily.
[00:31.960 --> 00:32.960]  Okay.
[00:32.960 --> 00:33.960]  Excellent.
[00:33.960 --> 00:34.960]  Can everyone hear me?
[00:34.960 --> 00:35.960]  Cool.
[00:35.960 --> 00:36.960]  Okay.
[00:36.960 --> 00:39.640]  So, how many of you feel really awkward when you do a user interview?
[00:39.640 --> 00:40.640]  Yes?
[00:40.640 --> 00:41.640]  Okay.
[00:41.640 --> 00:45.520]  How many of you are really excited to learn about how you can make your user interviews
[00:45.520 --> 00:49.480]  even more awkward so you can feel, okay, cool.
[00:49.480 --> 00:51.400]  That's what we're all here for.
[00:51.400 --> 01:00.000]  So, I'm talking about two things, basically, that you should do more user interviews regardless
[01:00.000 --> 01:05.040]  of how awkward you feel about them or not, and also that you should proactively employ
[01:05.040 --> 01:09.920]  techniques to make yourself feel more awkward, possibly also to make your interviewees feel
[01:09.920 --> 01:11.400]  a little bit more awkward too.
[01:11.400 --> 01:16.280]  So, I hope this sounds really awesome, and thank you all for joining me.
[01:16.280 --> 01:22.480]  The first thing that I, the first point that I want to make about doing user interviews
[01:22.480 --> 01:27.360]  and feeling awkward, because a lot of people actually really hesitate to ask users in the
[01:27.360 --> 01:29.640]  first place, because they feel like this is a huge ask.
[01:29.640 --> 01:34.240]  I'm going to ask for like 30 minutes of somebody's time, so they can feel really awkward just
[01:34.240 --> 01:35.600]  about that part.
[01:35.600 --> 01:42.200]  So, remember, though, that this isn't actually how your user thinks about it.
[01:42.200 --> 01:45.680]  Doing a user interview, as in from the user's perspective, is actually a way for them to
[01:45.680 --> 01:47.880]  contribute to your project.
[01:47.880 --> 01:53.240]  It's a way for them to tell you what works, what doesn't, help you make the project better,
[01:53.240 --> 01:56.400]  and also people like to talk about themselves.
[01:56.400 --> 02:02.320]  You're giving the user an opportunity to talk about themselves, and from their perspective,
[02:02.320 --> 02:04.920]  you know, hopefully get some of their needs met.
[02:04.920 --> 02:06.760]  They can give you like their wish list.
[02:06.760 --> 02:11.080]  That doesn't mean you have to do everything on the wish list, but it is, there is something
[02:11.080 --> 02:12.080]  in it for the user.
[02:12.080 --> 02:17.440]  So, don't get too hung up on that first ask and feel like this is like a huge imposition
[02:17.440 --> 02:19.040]  on your user.
[02:19.040 --> 02:25.600]  Okay, so then let's talk about a little bit why you need these user interviews.
[02:25.600 --> 02:30.040]  You need to be able to understand who your users are.
[02:30.040 --> 02:35.680]  You need to understand why they're using your product or your project, why they care about
[02:35.680 --> 02:36.680]  it.
[02:36.680 --> 02:40.680]  You need to understand that in order to figure out how you're going to talk about your project,
[02:40.680 --> 02:46.160]  and also figure out what you're going to do with your project next, what components of
[02:46.160 --> 02:50.840]  your project, what features are really useful to people, what things people really don't
[02:50.840 --> 02:56.120]  care about, what things would actually be helpful if they were added, what things potentially
[02:56.120 --> 02:59.840]  could actually detract from the value of your product if you were to build them.
[02:59.840 --> 03:02.200]  So user interviews are really important.
[03:02.200 --> 03:04.760]  They're also a really important part of building community.
[03:04.760 --> 03:08.800]  Again, something to keep in mind when you're feeling like really awkward about asking for
[03:08.800 --> 03:10.040]  that user interview.
[03:10.040 --> 03:15.040]  It's a way for your users to feel more connected to you as a maintainer and more connected
[03:15.040 --> 03:16.360]  to the community.
[03:16.360 --> 03:21.560]  So user interviews, super important to do in the first place.
[03:21.560 --> 03:26.360]  And this is some of the information that I hope that everyone thinks of when they're
[03:26.360 --> 03:28.240]  doing their user interviews.
[03:28.240 --> 03:32.560]  It's just an example of things that you're going to try to be getting, extracting out
[03:32.560 --> 03:35.360]  of your users as you're doing these interviews.
[03:35.360 --> 03:39.760]  You want to know what triggered them to find your project, so did they hear about it at
[03:39.760 --> 03:41.280]  a conference like FOSDEM?
[03:41.280 --> 03:46.480]  If so, and you want more people to find out about your project, maybe you should go to
[03:46.480 --> 03:48.480]  more conferences.
[03:48.480 --> 03:53.520]  But you also want to know what triggered them to even look for something like your project
[03:53.520 --> 03:54.960]  in the first place.
[03:54.960 --> 03:58.640]  What were they trying to accomplish in that moment?
[03:58.640 --> 04:02.800]  Then you also want to know, what do they compare your project to in their head?
[04:02.800 --> 04:07.920]  And sometimes you'll find answers like some other project, and it will be obvious.
[04:07.920 --> 04:12.400]  But oftentimes people don't actually compare a project to another project.
[04:12.400 --> 04:16.640]  They compare a project to spending four hours a month doing something manually.
[04:16.640 --> 04:20.040]  They might compare a project to paying a fine.
[04:20.040 --> 04:25.200]  They might compare a project to losing sleep at night because they are worried about whatever
[04:25.200 --> 04:27.040]  it is that your project solves.
[04:27.040 --> 04:32.680]  So understanding what that mental comparison is is going to help you talk about your project
[04:32.680 --> 04:38.480]  more effectively, understand where your project needs to go in the future, and make more of
[04:38.480 --> 04:41.040]  a connection with your community.
[04:41.040 --> 04:44.800]  So another thing that you need to understand is how they interact with your project.
[04:44.800 --> 04:49.440]  Is this something that they actually touch every day, every week, or is it something
[04:49.440 --> 04:52.920]  that runs in the background and is really critical, but it's very easy for everybody
[04:52.920 --> 04:58.480]  to forget, especially if you have a project that's used in a team situation.
[04:58.480 --> 05:03.760]  You want to know who on the team is interacting with a project and in what way.
[05:03.760 --> 05:06.040]  You'd also want to know who was the champion.
[05:06.040 --> 05:09.920]  So maybe you have five people on the team who are interacting with your project.
[05:09.920 --> 05:11.040]  Who was the champion?
[05:11.040 --> 05:14.800]  How did they then evangelize it within that team?
[05:14.800 --> 05:21.960]  And then you also want to know if, hopefully, there was one, but if there was a magic moment,
[05:21.960 --> 05:22.960]  what that moment was.
[05:22.960 --> 05:27.520]  So when they first started using your project, what was the sort of aha moment when they
[05:27.520 --> 05:30.400]  were like, oh, now I understand how this is working.
[05:30.400 --> 05:32.400]  This is so awesome.
[05:32.400 --> 05:38.440]  And the understanding what that moment is is really important, so that you know what
[05:38.440 --> 05:45.480]  to optimize and how to make the process for a new user of getting to that magic moment
[05:45.480 --> 05:48.160]  as smooth as possible.
[05:48.160 --> 05:52.800]  All right, so let's talk some more about goals, right?
[05:52.800 --> 05:55.520]  Okay, so what's your goal when you're doing a user-interferent view?
[05:55.520 --> 05:58.160]  I've just talked about some of these things, this is a pop quiz.
[05:58.160 --> 06:04.320]  Is it to get some really amazing information about your project, or is it to make yourself
[06:04.320 --> 06:06.880]  look awesome and smart?
[06:06.880 --> 06:07.880]  Which?
[06:07.880 --> 06:13.600]  Okay, so there is a little bit of a caveat here.
[06:13.600 --> 06:18.280]  You don't want to make yourself look like a total moron, especially, you know, people
[06:18.280 --> 06:22.280]  are trusting you, so you don't want them, like, if they're using your project, you don't
[06:22.280 --> 06:26.600]  want them to think you're a total moron, especially if you're trying to monetize this
[06:26.600 --> 06:30.360]  project in any way, in any way, depending on it financially.
[06:30.360 --> 06:35.760]  However, you also don't want to get hung up on the idea of making yourself look good
[06:35.760 --> 06:36.880]  during this interview.
[06:36.880 --> 06:41.960]  That is not the point of a user interview, the point is to get some really good information.
