[00:00.000 --> 00:02.060]  you
[00:30.040 --> 00:32.040]  You
[00:57.840 --> 00:59.840]  through i yeah
[00:59.840 --> 01:07.040]  Somewhere here, and yes, what is going to poke?
[01:07.040 --> 01:10.320]  So the project has,
[01:10.320 --> 01:14.740]  you can say that it has many components on the way you count it.
[01:14.740 --> 01:16.560]  But in a simple way, you can say,
[01:16.560 --> 01:18.620]  okay, it's a leap poke which has
[01:18.620 --> 01:24.600]  the incremental compiler for the poke programming language.
[01:24.600 --> 01:27.920]  By incremental, you can add stuff,
[01:27.920 --> 01:29.800]  redefine things, redefine types,
[01:29.800 --> 01:31.960]  redefine variables over the time.
[01:31.960 --> 01:35.280]  And it also had the other part is the PVM,
[01:35.280 --> 01:37.160]  poke virtual machine which is powered by
[01:37.160 --> 01:42.080]  Ganujiter project by Luca Sayu.
[01:42.080 --> 01:47.080]  And yeah, it's a virtual machine generator,
[01:47.080 --> 01:50.120]  which is fun but no time for talking about that.
[01:50.120 --> 01:51.240]  Sorry, Luca.
[01:51.240 --> 01:54.320]  And the other part is the IOS space,
[01:54.320 --> 01:56.560]  which is the abstraction to make things you
[01:56.560 --> 02:00.760]  know you can address bits from the IOS devices.
[02:00.760 --> 02:03.720]  So these are the main components of the leap poke.
[02:03.720 --> 02:08.080]  The other component we have in the Ganujiter project is
[02:08.080 --> 02:10.200]  the poke the CLI application,
[02:10.200 --> 02:13.680]  which is based on user leap poke,
[02:13.680 --> 02:17.160]  and you can read line,
[02:17.160 --> 02:20.560]  you can write to this in and then it gives you
[02:20.560 --> 02:23.800]  error and output on the set out.
[02:23.800 --> 02:27.800]  But the third thing is we have is the poke D,
[02:27.800 --> 02:32.560]  poke demon, you know demon in the term of server or
[02:32.560 --> 02:35.520]  in the program that exists,
[02:35.520 --> 02:38.400]  we don't see it but it's doing something.
[02:38.400 --> 02:39.720]  So it's a demon for me.
[02:39.720 --> 02:41.360]  But some people believe that okay,
[02:41.360 --> 02:45.400]  demon is only system things but I don't think so.
[02:45.400 --> 02:48.080]  So I like to call it poke D.
[02:48.080 --> 02:53.120]  So a very brief looking at the components
[02:53.120 --> 02:54.320]  inside the leap poke.
[02:54.320 --> 02:59.080]  So if you go to the leap poke dot leap poke dot H file,
[02:59.080 --> 03:01.520]  you will see three opaque types.
[03:01.520 --> 03:04.760]  The PK compiler, which presents the interaction
[03:04.760 --> 03:08.680]  with the compiler, the PVM, which is PK Val.
[03:08.680 --> 03:13.160]  It is the values from the poke virtual machine
[03:13.160 --> 03:15.480]  and you have the peak IOS,
[03:15.480 --> 03:19.800]  which is the abstraction over different devices
[03:19.800 --> 03:22.280]  like we have network block device,
[03:22.280 --> 03:24.560]  we have zero device, we have sub device,
[03:24.560 --> 03:28.040]  file, stream, like it's in the set out there.
[03:28.040 --> 03:32.360]  And process, which is you can poke other processes,
[03:32.360 --> 03:35.480]  you attach using the PID or memory,
[03:35.480 --> 03:40.480]  which is a in process memory for doing temporary things.
[03:42.360 --> 03:44.480]  And we have also a foreign dev,
[03:44.480 --> 03:47.120]  which you can introduce a new device.
[03:47.120 --> 03:50.040]  Like you have, like as an example,
[03:50.040 --> 03:51.440]  I have, I can show that,
[03:51.440 --> 03:55.960]  but like reading from packets and writing to memory.
[03:55.960 --> 03:58.400]  And then in poke, you can poke the packets,
[03:58.400 --> 04:02.720]  no network packets given from like a network
[04:02.720 --> 04:04.840]  or for example, at my job,
[04:04.840 --> 04:06.680]  I have to work with Bluetooth things.
[04:06.680 --> 04:09.960]  So we verify the data formats, we read them,
[04:09.960 --> 04:13.760]  and then we verify with the poke that we are,
[04:13.760 --> 04:15.320]  we get what we expect to.
[04:16.560 --> 04:18.520]  So ended language.
[04:18.520 --> 04:20.920]  The language is procedural, of course,
[04:20.920 --> 04:23.280]  statically type, of course, interpreted
[04:23.280 --> 04:25.480]  because of no PVM stuff.
[04:25.480 --> 04:28.920]  And it's interactive DSL for binary data.
[04:28.920 --> 04:33.920]  It is designed to specifically be expressed,
[04:33.920 --> 04:37.760]  enough powerful to express binary formats.
[04:37.760 --> 04:40.960]  And yeah, so we can have variables,
[04:40.960 --> 04:43.200]  var a equals something.
[04:43.200 --> 04:48.200]  We can have a weird integers like I have here
[04:48.200 --> 04:53.200]  and int 32 literal, which I'm casting to you int 13.
[04:55.400 --> 04:57.520]  We have strings which are not terminated.
[04:57.520 --> 05:01.440]  There is no non-null terminated string in poke.
[05:01.440 --> 05:03.400]  If you want to use, you can use arrays.
