[00:00.000 --> 00:26.900]  So, we're probably shifting gears a bit from all this deeply technical intimidating talks
[00:26.900 --> 00:32.900]  and kind of connect to the first talk of this track, basically.
[00:32.900 --> 00:40.900]  I found this really interesting idea of kind of emulating the let's encrypt moment for confidential computing
[00:40.900 --> 00:43.900]  because it is more or less what we are doing.
[00:43.900 --> 00:47.900]  So, I'm a software engineer in Microsoft's KINFORG team.
[00:47.900 --> 00:55.900]  We do a lot of exciting stuff in terms of open source, Linux, eBPF, and containers in Kubernetes
[00:55.900 --> 01:03.900]  and my team is also involved in exploring ways to integrate existing confidential computing technology,
[01:03.900 --> 01:14.900]  all that we heard in the talks before with existing ways to deploy containers.
[01:14.900 --> 01:24.900]  So, this talk is kind of, yeah, we're on a tight schedule so I have to really do cut a few ends short
[01:24.900 --> 01:27.900]  and probably will be a bit hand wavy.
[01:27.900 --> 01:29.900]  So, sorry about that.
[01:29.900 --> 01:34.900]  Please reach out if you want to get details about something.
[01:34.900 --> 01:40.900]  So, obviously, it's also not a comprehensive coverage over all the confidential containers.
[01:40.900 --> 01:51.900]  Realm, it's quite wide and covers a lot of areas so I'm focusing on a few things that we are looking at at the moment
[01:51.900 --> 01:58.900]  and also maybe the point in the talks will not age very well because things are very much evolving
[01:58.900 --> 02:08.900]  and whatever is mentioned later could be in a few months, could be already like in another stage.
[02:08.900 --> 02:15.900]  But the idea basically is to provide like pointers for people who want to get involved in this
[02:15.900 --> 02:20.900]  because from my perspective it's very exciting, it's something that's like a very practical problem you can solve
[02:20.900 --> 02:27.900]  and there's a lot of open questions that are really accessible I think also for people
[02:27.900 --> 02:33.900]  without a very deep technical background in confidential computing.
[02:33.900 --> 02:40.900]  And eventually we have to define cloud native so establish some terminology but we cannot go very deep here
[02:40.900 --> 02:51.900]  so essentially it's a bit of a buzzword but you will find that it's more or less an ecosystem of practices, tools, interfaces,
[02:51.900 --> 02:59.900]  APIs that more or less aim to ease the deployment and management of applications on cloud platforms.
[02:59.900 --> 03:04.900]  And that can be infrastructure as a service, it can be I don't know functions as a service
[03:04.900 --> 03:11.900]  but in most cases containers are very prominent in this space and this is also what we are focusing on.
[03:11.900 --> 03:24.900]  And Kubernetes in this space among other competitors has been adopted as a go-to solution really for container orchestration and management.
[03:25.900 --> 03:29.900]  And quickly introduce Kubernetes in like two lines.
[03:29.900 --> 03:38.900]  So Kubernetes is a container orchestrator, management, API, abstraction layer.
[03:38.900 --> 03:43.900]  I would say that it's not trivial to host and operate.
[03:43.900 --> 03:56.900]  So it's very popular offering by cloud service providers to offer some hosted solution for Kubernetes
[03:56.900 --> 04:02.900]  and provide the developers, engineers with some API layers.
[04:02.900 --> 04:08.900]  And in Kubernetes what we have is maybe a bit unique, you have this notion of POTS
[04:08.900 --> 04:13.900]  which define like a logical environment, it's like they are isolated, resource constrained,
[04:13.900 --> 04:20.900]  they also share namespaces, C groups and they are composed of individual containers.
[04:20.900 --> 04:27.900]  So a node has POTS and in the POTS can be very like co-located containers if you want
[04:27.900 --> 04:35.900]  and this is an abstraction that is quite useful in confidential computing.
[04:35.900 --> 04:42.900]  So in general I think this is also for people who work with confidential computing quite common.
[04:42.900 --> 04:46.900]  There's kind of this trade-off scale where you say like you have a small TCB surface.
[04:46.900 --> 04:56.900]  This means you run enclaves, you have like SDKs and your workloads have to be customized for this.
[04:56.900 --> 05:02.900]  But this also means you don't have to care for a lot of stuff because the TCB surface is quite small.
[05:02.900 --> 05:09.900]  And you have like a bigger TCB surface, it's like bare metal VMs, like Kubernetes clusters for example
[05:09.900 --> 05:18.900]  and those have the convenience of running unmodified workloads, this kind of lift and shift idea.
[05:18.900 --> 05:25.900]  And if you want the Kubernetes POTS could kind of fit in there somewhere on the scale,
[05:25.900 --> 05:27.900]  probably not exactly in the middle but somewhere.
[05:27.900 --> 05:36.900]  So because the idea is that we only have like minimal adjustments to existing workloads that are already running in Kubernetes.
[05:36.900 --> 05:48.900]  And as mentioned before some workloads are simply locked out of cloud native and public clouds due to compliance issues.
[05:49.900 --> 05:59.900]  So our approach is basically to ease the adoption of confidential computing by enabling confidentiality with minimal upfront investments
