[00:00.000 --> 00:12.000]  Hi, I am Vijay Dandraj and welcome to a talk on Grameen.
[00:12.000 --> 00:16.200]  I am one of the contributors to Grameen project and I have been working in this project for
[00:16.200 --> 00:19.000]  past few years.
[00:19.000 --> 00:25.600]  There was a talk on Grameen in last year's FOSDEM by one of the Grameen maintainers,
[00:26.600 --> 00:35.600]  on the technical details of Grameen as well as a demo showing how to use Grameen as well as GSE.
[00:35.600 --> 00:45.600]  So, in this talk I will quickly go over the technical details and focus more on the current status as well as the new features that were added in Grameen.
[00:45.600 --> 00:54.600]  We will focus more on EDMM which is one of the new features that was added and we will also discuss on the future plans.
[00:54.600 --> 01:09.600]  I am assuming the audiences are aware of Intel SGX as well as DEs in general and so I will skip the background on this and move further.
[01:09.600 --> 01:17.600]  So, this is the presentation from an Intel representative and thus I should show the following disclaimer.
[01:18.600 --> 01:29.600]  Grameen is an open community project and currently Intel and ITL are the most active members of this community.
[01:29.600 --> 01:42.600]  There have been sizable contributions by IBM as well as Alibaba and there is also other contributors from several other companies and academic partners.
[01:42.600 --> 01:47.600]  Now, productizing Grameen is currently done by Intel.
[01:47.600 --> 01:52.600]  Let us discuss on the technical details of Grameen.
[01:52.600 --> 01:57.600]  Grameen is a library OS that emulates Linux kernel.
[01:57.600 --> 02:08.600]  In other words, Grameen can be thought of as a tiny Linux kernel re-implementation to run unmodified guest in the user space.
[02:08.600 --> 02:25.600]  Grameen supports multiple processes, applications with multiple processes such as a bash script with many child workers or an engine X application with many worker processes.
[02:25.600 --> 02:34.600]  This is possible because Grameen emulates syscalls like clone, fork, exec v.
[02:34.600 --> 02:44.600]  Another important aspect of Grameen is that it is architected in such a way to support different backends.
[02:44.600 --> 02:47.600]  Currently, there are two supported backends.
[02:47.600 --> 03:03.600]  Grameen is Linux also called as direct as this backend directly forwards the calls to the host OS and the Linux SGX which runs an application inside an SGX on clay.
[03:03.600 --> 03:09.600]  In future, we also plan to support other backends like TDX.
[03:09.600 --> 03:21.600]  Grameen is a community maintained open source project and it joined the confidential compute consortium in September 2021.
[03:21.600 --> 03:27.600]  Grameen can be easily deployed in cloud environment like Azure.
[03:27.600 --> 03:34.600]  One can get the Docker image from Docker Hub with a few additional packages.
[03:34.600 --> 03:39.600]  One can get started with a simple hello world program very quickly.
[03:39.600 --> 03:49.600]  The latest production ready Grameen was released in September 2022 and we plan to release in a quarterly cadence.
[03:49.600 --> 03:55.600]  One dot release is actually planned this week so keep an eye out for it.
[03:55.600 --> 04:09.600]  We have successfully enabled multiple widely used applications in Grameen and we have also enabled support for many popular languages like Python, Go, Rust and Java.
