[00:00.000 --> 00:13.000]  Okay. Our next talk is going to start right now. Mark's already on stage. He's going to
[00:13.000 --> 00:18.080]  talk about automating secrets, rotation, and Kubernetes, and please quiet down so we can
[00:18.080 --> 00:41.080]  understand him. Okay. Hello. Can you hear me? All right. So thank you for joining here today. My name is Mark. I'm an engineer
[00:41.080 --> 00:49.080]  tech lead at Cisco. For the last couple of years, or maybe the better part of the decade, my primary job was helping
[00:49.080 --> 00:57.080]  engineering teams around their business applications and Kubernetes and helping them succeed without having to get into too
[00:57.080 --> 01:08.080]  much details about Kubernetes. Let me start with the story. I'm pretty sure this will sound familiar to a lot of us here.
[01:08.080 --> 01:18.080]  A couple of years ago, I was in the middle of debugging session. It was already the middle of the night. Everyone was tired. And finally, we
[01:18.080 --> 01:29.080]  found a problem. I committed the change, pushed the code, and then suddenly all the buzz went off. We received an e-mail from
[01:29.080 --> 01:39.080]  AWS that a pair of credentials was committed in a public repository. Who did something like that before? Come on. I'm pretty
[01:39.080 --> 01:49.080]  sure it's more than that. There's no shame in that. Everyone has to go through that once. So we obviously had to revoke the
[01:49.080 --> 01:57.080]  credentials, generate a new pair, and deploy it to production. And we were able to do that because we had, like, good
[01:57.080 --> 02:05.080]  secret management pipeline in place. And this kind of hints at why rotating secrets or being able to rotate secrets is
[02:05.080 --> 02:12.080]  important, because if you have an incident like this, you have to be able to act quickly and rotate those secrets and make
[02:12.080 --> 02:21.080]  sure that, well, in a first-case scenario, people may steal your data in a better scenario than AWS. Someone might start
[02:21.080 --> 02:30.080]  mining Bitcoin. But you have to be able to react quickly. Another reason why this is a very important topic is we often have to
[02:30.080 --> 02:40.080]  meet certain compliance requirements that require us to rotate every secret we have, like, every 90 days. I'm pretty sure many of
[02:40.080 --> 02:49.080]  us have to deal with that. But the worst of all, the worst situation of all is when you don't even know that a secret has
[02:49.080 --> 02:57.080]  been leaked. Or maybe an angry ex-employee took something with home. And you don't even know that happened. And they are
[02:57.080 --> 03:05.080]  stealing your data. They are stealing your customer's data. Or they are mining Bitcoin in a better situation.
[03:05.080 --> 03:12.080]  All right. So probably nobody disputes that secret rotation is important. But unfortunately, it comes with its own
[03:12.080 --> 03:21.080]  self-challenges, which often turns people away from actually caring about this. And obviously, secret rotation or managing
[03:21.080 --> 03:27.080]  secrets or configuration is a very complex problem, especially in a Kubernetes environment where you may have multiple
[03:27.080 --> 03:33.080]  different clusters, multiple different in-spaces where you have to deploy these secrets, many different secrets and
[03:33.080 --> 03:44.080]  integration, which means it takes a lot of time to do it right. And it's still an error-prone process. And in an idea
[03:44.080 --> 03:53.080]  scenario, if you screw something up, it may not result in an actual outage or incident. But it may, which is obviously, it
[03:53.080 --> 04:01.080]  would affect the business, which is what we wanted to avoid in the first place by making these secret rotations. So all
[04:01.080 --> 04:08.080]  right. So I'm going to talk about some of the key challenges and why it's important points to that secret rotation
[04:08.080 --> 04:16.080]  should be possible. I mean, it's probably always possible. But I've seen situations where rotating certain secrets would
[04:16.080 --> 04:23.080]  have been very, very hard. Like it would have taken like hours, which is a problem. But so it should be possible. And
[04:23.080 --> 04:30.080]  you should be able to do it relatively quickly. Secret rotation should also be as much automated as
[04:30.080 --> 04:40.080]  possible. Like we are not really trustworthy, like we make mistakes, exhibit A. So it should be ultimately as much as
[04:40.080 --> 04:48.080]  possible. And humans should interact with secrets and secret rotation as little as possible. And finally, secret
[04:48.080 --> 04:55.080]  rotation should happen periodically. Like you shouldn't have a secret that you use for years, because as I mentioned, you
[04:55.080 --> 05:04.080]  don't know if it's been leaked. And if you don't know if it's been leaked, how do you know if your system is secure or not?
[05:04.080 --> 05:13.080]  So how does secret rotation look like in general? We are not even talking about Kubernetes here. First, you need to
[05:13.080 --> 05:20.080]  have a secret store. If you don't have a secret store, then the whole thing is a lot more complex than it should be. You
[05:20.080 --> 05:26.080]  have a secret store where you store your secrets, and then you have some solution to deploy those secrets to your production
[05:26.080 --> 05:33.080]  environment or production environments. Now, when you need to change a secret, depending on what type of secret that is,
[05:33.080 --> 05:41.080]  you have to go to the secret provider, which may be a third-party provider like AWS or GitHub or anything like that. You
