[00:00.000 --> 00:05.920]  Good morning, wow.
[00:05.920 --> 00:10.760]  I was not expecting this much of an audience at 9am on Sunday at a FOSSTEM, so thank you
[00:10.760 --> 00:11.760]  all for coming.
[00:11.760 --> 00:16.840]  Yeah, I'm here to talk about how I was at FOSSTEM five years ago.
[00:16.840 --> 00:20.240]  I told you all a whole bunch of things and I was utterly wrong.
[00:20.240 --> 00:23.520]  So many ways, it's actually kind of amusing.
[00:23.520 --> 00:25.160]  But who am I?
[00:25.160 --> 00:26.160]  My name's Richard.
[00:26.160 --> 00:32.040]  I've been working on OpenSUSA since it began, I've been a customer of SUSAs, I've been
[00:32.040 --> 00:39.240]  a contributor, I've been a Q&A engineer, I've been working there for almost 10 years.
[00:39.240 --> 00:43.200]  These days I am a ridiculous advocate of rolling releases, it's what everybody should
[00:43.200 --> 00:45.280]  be using.
[00:45.280 --> 00:50.360]  I created the micro-S desktop, my day job is being one of the release engineers for
[00:50.360 --> 00:57.480]  tumbleweed and micro-S, I also do a bit of consulting and I also do a bit of photography.
[00:57.480 --> 01:02.360]  But a long time ago in a room, actually just on the other side of this campus, I was here
[01:02.360 --> 01:11.080]  at FOSSTEM telling everybody that containerized applications, so things like flat-back snap
[01:11.080 --> 01:17.720]  app images, the idea that graphical apps in some portable format are absolutely utterly
[01:17.720 --> 01:20.800]  terrible and nobody should be ever using them ever and they were going to eat all of our
[01:20.800 --> 01:26.280]  users and yeah, it's just going to be horribly, horribly wrong.
[01:26.280 --> 01:31.160]  And I even started the presentation with quickie comments, like those who don't remember
[01:31.160 --> 01:38.040]  the past are condemned to repeat it and I even made really unflattering comparisons.
[01:38.040 --> 01:45.160]  Like doing diagrams from Windows architecture and pointing out, Windows has all these wonderful
[01:45.160 --> 01:50.160]  runtimes where you can have different environments and run your application on top and it was
[01:50.160 --> 01:53.560]  absolutely terrible in Windows, it's going to be absolutely terrible when we do the
[01:53.560 --> 01:56.920]  same thing in Linux.
[01:56.920 --> 02:02.920]  Giving the examples of all of the security issues that you see in Windows in this kind
[02:02.920 --> 02:04.000]  of approach.
[02:04.000 --> 02:11.240]  Things like security relevant DLLs lurking in some folder in your Windows machine, being
[02:11.240 --> 02:17.000]  an absolute nightmare to patch, an absolute nightmare to fix when it goes wrong, all these
[02:17.000 --> 02:21.240]  horrible update issues, how do you end up getting an update on your Windows or your
[02:21.240 --> 02:22.240]  Mac machine?
[02:22.240 --> 02:26.920]  Well, you download some EXE or some bundle and then there's some updater and it does
[02:26.920 --> 02:30.600]  whatever the heck it wants on its machine.
[02:30.600 --> 02:34.120]  Licensing issues, especially with open source, how do you mix and match all these different
[02:34.120 --> 02:39.360]  licenses together in one cohesive thing and it's just going to eat up all of your disk
[02:39.360 --> 02:42.360]  space.
[02:42.360 --> 02:48.840]  And then I went back to this slide again and then started talking about the various technologies
[02:48.840 --> 02:54.800]  at the time, 2017, we're out there doing this containerized runtime stuff and I would compare
[02:54.800 --> 03:01.200]  this lovely Windows diagram to this lovely canonical diagram which looks very, very similar
[03:01.200 --> 03:02.800]  because actually it is.
[03:02.800 --> 03:08.400]  The idea is similar, the concept is similar, but as you'll see just because the concept
[03:08.400 --> 03:13.800]  is similar doesn't necessarily mean the whole idea is bad, execution doesn't matter.
[03:13.800 --> 03:19.320]  And it wasn't just Snap, I wasn't just shifting on Ubuntu because I don't like Ubuntu, I was
[03:19.320 --> 03:27.560]  doing the same with Flatback and I was basically pointing out that this whole containerized
[03:27.560 --> 03:31.440]  application idea was repeating the same issue.
[03:31.440 --> 03:36.840]  We were going to be going down this road of security relevant libraries, lurking in all
[03:36.840 --> 03:39.960]  of these snaps in Flatback.
[03:39.960 --> 03:44.840]  Back then we didn't necessarily have a good story about how are we going to update these
[03:44.840 --> 03:49.200]  things, how are we going to keep them maintained, who was going to look after all of these base
[03:49.200 --> 03:54.920]  snaps and run times in Flatback and the like.
[03:54.920 --> 03:58.520]  Who was going to look at all of the legal issues and review the possible licensing issues
[03:58.520 --> 04:04.760]  of bundling these things together and who was going to buy everybody bigger hard disks.
[04:04.760 --> 04:09.440]  And the kind of main conclusion that I left with which despite the fact you'll see I was
[04:09.440 --> 04:15.760]  wrong about a lot of what I said, I still actually hold true is at the heart of it when
[04:15.760 --> 04:22.080]  distributing software doesn't matter if you're doing it as a container or as a full-blown
[04:22.080 --> 04:28.760]  fat OS distributor or anything in between with any kind of fancy technology, the responsibilities
[04:28.760 --> 04:35.880]  are the same. Happy image, Flatback snap might make it easier to be the upstream than giving
[04:35.880 --> 04:40.080]  out your application to the users, that's great, but the responsibilities are still
[04:40.080 --> 04:44.120]  the same that distributors have been doing in distributions for years.
[04:44.120 --> 04:48.880]  You have to worry about maintainability, you have to worry about the security, you have
[04:48.880 --> 04:51.880]  to worry about licensing and all this wonderful stuff.
[04:51.880 --> 04:55.160]  So they're going to have to borrow all of the same stuff.
[04:55.160 --> 04:59.640]  So five years ago I gave this presentation, there was lots of people in the audience from
[04:59.640 --> 05:04.040]  App Image, Snap and Flatback, some of them said very nice things to me, some of them
[05:04.040 --> 05:12.680]  said very un-nice things to me. Starting with App Image, they took a lot of what I said
[05:12.680 --> 05:22.360]  surprisingly on board and really ran with it. I said all this stuff in February 2017
[05:22.360 --> 05:31.000]  and by June 2017 I was saying stuff like this on stage, this was taken at the OpenSUSA conference,
[05:31.000 --> 05:37.760]  this was on the App Image website for, well, longer than I wish it was.
[05:37.760 --> 05:44.800]  But the reason it was because in that short window, App Images thought they could address
[05:44.800 --> 05:51.280]  most of my concerns by actually obviously running to the OpenSUSA build service and
[05:51.280 --> 05:56.600]  working with the OpenSUSA build service guys and integrating App Image really quite nicely
[05:56.600 --> 06:02.880]  with it at the time. So the idea being the problem, App Image wasn't the problem, maybe
[06:02.880 --> 06:08.840]  the way you build App Image is a problem. If you build them in a nice auditing build
[06:08.840 --> 06:13.920]  system and have the whole thing tracked with dependencies in a build system and you build
[06:13.920 --> 06:19.480]  it reproducibly and you do all the licensing reviews there, then OBS could be the solution
