[00:00.000 --> 00:12.520]  Hi, everyone. Thank you for coming to my presentation. This is my first time at FOSDEM. Clearly,
[00:12.520 --> 00:25.680]  first time in Belgium. Brussels is such a lovely city. But I think we lucked out. And
[00:25.720 --> 00:33.200]  I must say, I don't mind taking a break from the sun. I'm hoping to return and explore the
[00:33.200 --> 00:41.600]  city more outside of the ULB campus. So please send the recommendations my way. Let's start.
[00:41.600 --> 00:51.400]  I would like to thank the community Devrim organizers for inviting me to speak and share
[00:52.000 --> 01:00.440]  the work of my team. My name is Inessa Posen. I work on NAMPAI and am part of Contribute
[01:00.440 --> 01:09.960]  Experience Lead Team. Here's the plan for the next 25 minutes. First, I'll introduce the rest of my
[01:09.960 --> 01:18.840]  team. I will introduce you briefly the projects that they're working on. Then I will share my
[01:18.840 --> 01:32.200]  thoughts on why Contribute Experience matters. I will also talk in more detail about how we are
[01:32.200 --> 01:40.400]  making Contribute Experience better within the sci-fi ecosystem. If you were wondering about
[01:40.400 --> 01:47.160]  the numbers in the title, just like in the university course catalog, we will dive a little
[01:47.200 --> 02:01.440]  bit deeper into the topic. I will briefly touch on how we evaluate our progress in our work of
[02:01.440 --> 02:10.840]  community building and providing Contribute Experience. And also talk about the project
[02:10.840 --> 02:17.960]  health metrics that we pay most attention to. Finally, I will introduce the Contribute Experience
[02:17.960 --> 02:26.960]  project, a new community of practice, an open source project, a community-driven project. And I
[02:26.960 --> 02:37.280]  will invite you all to join if you're interested in this topic. Just keep in mind that building,
[02:37.840 --> 02:46.880]  thriving open source communities takes a lot of years and it takes some time to talk about it. So
[02:46.880 --> 02:54.720]  20 minutes will not be enough to cover everything, but hopefully it will be enough to start the
[02:54.720 --> 03:06.000]  conversation. So a few more words about me. In case you're wondering about my accent, I'm originally
[03:06.080 --> 03:14.600]  from Ukraine. I've been living in the United States for some time now. I'm a Pythonista, meaning
[03:14.600 --> 03:23.200]  that I'm advocating for adoption of the Python programming language. I've been organizing the
[03:23.200 --> 03:30.440]  South Florida Pi Ladies chapter, the maintainer summit at Picon US since 2020. I'm also very
[03:30.480 --> 03:40.480]  active in the sci-fi community. In December 2021, I stepped into the role of Contribute Experience
[03:40.480 --> 03:52.520]  Lead. And before that, I was very active contributor to NumPy on several subprojects within the
[03:52.520 --> 04:01.520]  NumPy community. In 2021, I joined the steering council of the NumPy project, which is a
[04:01.520 --> 04:12.240]  governing body. And I pay a lot of attention to other projects in the sci-fi community. I do
