[00:00.000 --> 00:08.320]  Okay, so welcome everybody.
[00:08.320 --> 00:14.400]  So my name is Alexander and today we'll talk about user interface library and the problem
[00:14.400 --> 00:17.320]  of customization.
[00:17.320 --> 00:24.120]  So to give you some context, I'm a three-year-old React engineer and I'm working at MUI during
[00:24.120 --> 00:30.600]  the day and during the night I was working for OpenFoodFact which is a kind of Wikipedia
[00:30.600 --> 00:37.120]  for food products at the end, don't hesitate to ask for stickers for both.
[00:37.120 --> 00:41.760]  So for the few, we don't know what is the material, this is the homepage so that you
[00:41.760 --> 00:46.520]  can get what is the component we provide.
[00:46.520 --> 00:51.760]  And we have a usual problem of user interface library which is what the re-user want to
[00:51.760 --> 00:53.160]  do with it.
[00:53.160 --> 01:00.520]  So one aspect is making internal tools or a small MVP, you work in an NGO for example,
[01:00.520 --> 01:02.880]  this is one project I'm working on.
[01:02.880 --> 01:06.720]  I'm currently doing a lot of effort because you can see the colors are not the default
[01:06.720 --> 01:11.720]  one which is a lot better than most of the projects we're using.
[01:11.720 --> 01:19.200]  But you also have kind of real websites that do a bit more customization with the library
[01:19.200 --> 01:23.840]  but all the components are from MUI.
[01:23.840 --> 01:29.440]  So you get a conflict about what is interesting for you because for me working out of the
[01:29.440 --> 01:30.440]  box is super important.
[01:30.440 --> 01:34.520]  I don't want to spend more than five minutes to set up a button.
[01:34.520 --> 01:39.160]  If you're paying engineers, they can spend a bit of time on it.
[01:39.160 --> 01:44.080]  Being beginner-friendly is super important for me to get new contributors on the project
[01:44.080 --> 01:49.600]  for companies to don't spend time on onboarding and about customization.
[01:49.600 --> 01:54.520]  I think the example before was clear enough.
[01:54.520 --> 02:01.920]  So I will present you how I perceive customization across my learning journey.
[02:01.920 --> 02:06.760]  So I started into a consulting company and what you have to do most of the time is the
[02:06.760 --> 02:16.080]  designer comes to set up some specific colors and so you add a CSS specification, selectors.
[02:16.080 --> 02:19.640]  It has to be a bit more specific for some of them, you have a class name.
[02:19.640 --> 02:25.760]  You want to be again more specific, you add another class name and it works by magic.
[02:25.760 --> 02:31.240]  And one year later, you will know that in CSS, the more classes you put, the more likely
[02:31.240 --> 02:36.920]  you are to override the properties, which is called a CSS specificity for those who
[02:36.920 --> 02:39.600]  are not aware.
[02:39.600 --> 02:42.240]  For user interface library, this means only one thing.
[02:42.240 --> 02:49.080]  But all your style into one CSS class name so that your user will be able to override
[02:49.080 --> 02:50.080]  them.
[02:50.080 --> 02:57.520]  So here is one of the simplest components to override one class with a meaningful name
[02:57.520 --> 03:00.560]  and developers can override.
[03:00.560 --> 03:02.120]  That's not all for customization.
[03:02.120 --> 03:07.640]  Of course, you need to respect, to pass some attributes to your HTML, for example, to strictly
[03:07.640 --> 03:10.120]  speaking, disable your buttons.
[03:10.120 --> 03:16.120]  And you can allow a bit more with React, for example, spading custom props.
[03:16.120 --> 03:17.480]  So that's all for me.
[03:17.480 --> 03:20.440]  If you want to customize the style, it's CSS.
[03:20.440 --> 03:24.000]  And if you want to modify the behavior, you will use props.
[03:24.000 --> 03:29.000]  That's basically what you learn after a bit one year of development.
[03:29.000 --> 03:33.200]  And for me, it was the time to level up and to join the MUI.
[03:33.200 --> 03:37.240]  So I was thinking, yes, I will work on two of those tiny components.
[03:37.240 --> 03:42.720]  And the guys say, hmm, it will be slightly more complex.
[03:42.720 --> 03:46.200]  So you will work on two of the data grids.
[03:46.200 --> 03:52.280]  Was a bit scared about at least being able to use it, but fairly simple at the beginning.
[03:52.280 --> 03:56.680]  You define what is a row, the collection of objects, same for the columns.
[03:56.680 --> 04:01.600]  To pass everything and the components, magically do the stuff.
[04:01.600 --> 04:05.520]  But of course, such a component has a lot of features.
[04:05.520 --> 04:11.480]  And here is the problem of the complex components being able, at the same time, for you to manage
[04:11.480 --> 04:14.920]  them internally, but also to document them.
[04:14.920 --> 04:20.640]  Because if user was just taking your component, put it into their website, it would be nice.
[04:20.640 --> 04:27.720]  But of course, they want to modify how the filtering is working, how the cell are rendered.
[04:27.720 --> 04:31.720]  And sometimes they have very bad ideas to test.
[04:31.720 --> 04:34.520]  So here is one of the first issues I get.
[04:34.520 --> 04:40.240]  So it's complex because you can open a filter panel.
[04:40.240 --> 04:44.400]  Into this filter panel, you can select on which column you will do the selection.
[04:44.400 --> 04:50.480]  And they wanted to sort it by alphabetical order instead of the order of the columns.
[04:50.480 --> 04:52.400]  It makes a lot of sense.
[04:52.400 --> 05:00.080]  But the problem is, how do you allow the developers to access this really specific rendering without
[05:00.080 --> 05:02.080]  having to break everything?
[05:02.080 --> 05:06.040]  If you're following what you learned during your first year, you say, okay, it's a behavior
[05:06.040 --> 05:09.000]  modification, so I add the properties.
[05:09.000 --> 05:15.120]  And then you get a problem about how your documentation will look like in a bit one year.
[05:15.120 --> 05:18.360]  So you need to find a solution.
[05:18.360 --> 05:24.960]  So there is three main solutions, which we will talk about.
[05:24.960 --> 05:28.840]  So the first one is a headless, and basically it means you remove the problem.
[05:28.840 --> 05:34.960]  You say, I will not consider giving you the components, I give you only the logics.
[05:34.960 --> 05:38.520]  So you provide options here, for example, what are the columns, what are the data to
[05:38.520 --> 05:46.800]  render, and it returns you all the utility function to quickly set up a filtering rendering.
[05:46.800 --> 05:51.680]  So you're not any more responsible of rendering the select, so developers can do whatever
[05:51.680 --> 05:53.440]  they want in it.
[05:53.440 --> 05:58.680]  So it's super customizable because you do not deal with the components.
[05:58.680 --> 06:03.520]  It's clearly not out of the box because even the quick start example are more than hundreds
[06:03.520 --> 06:05.520]  of lines.
[06:05.520 --> 06:11.560]  And beginner-friendly, yes and no, because you strictly give them like legal pieces.
[06:11.560 --> 06:17.800]  They have a function, they know what to do, they can do whatever they want before, after,
[06:17.800 --> 06:20.080]  or with the results.
[06:20.080 --> 06:23.920]  But you're also responsible to pass all the attributes to the HTML elements, so you have
[06:23.920 --> 06:25.320]  to learn each of them.
[06:25.320 --> 06:30.720]  If you don't know, you need to pass, for example, a label ID to be a RIA compliant.
[06:30.720 --> 06:38.720]  There is no way to say you, eh, you forget this specification in the components.
[06:38.720 --> 06:43.960]  Another way to do is to provide the basic components, the case here of React admin, which like the
[06:43.960 --> 06:50.560]  name says, it's an administration panel.
[06:50.560 --> 06:53.200]  Basically this is how you define your administration panel.
[06:53.200 --> 07:00.880]  You get a provider that wraps all your application, and you define resources, which define how
[07:00.880 --> 07:05.320]  they will render the table.
[07:05.320 --> 07:09.240]  Most of the time, you don't want to get the default table because, like always, you want
[07:09.240 --> 07:12.840]  to do some customization, and so it's easy.
[07:12.840 --> 07:18.480]  You define your own list, so there is an example, and you can specify, okay, this colon ID will
[07:18.480 --> 07:26.840]  be text, the category is text also, published at, it will be a date, and so on.
[07:26.840 --> 07:31.240]  And if you're not happy about the default way to render a date, you just remove the
[07:31.240 --> 07:37.240]  date field, and you create your custom components with smaller components they provide, and
[07:37.240 --> 07:42.360]  you can go deeper and deeper as you want.
[07:42.360 --> 07:47.280]  The idea, in fact, is that they provide the basic components as small as possible, and
[07:47.280 --> 07:52.960]  the way to wrap them all together, which is the providers, and you get your application,
[07:52.960 --> 07:58.120]  and if you know this image, you know that the result can also be this one.
[07:58.120 --> 08:02.720]  This is, so you know Material UI, so you will recognize the code.
[08:02.720 --> 08:11.040]  It's a form control with an input and a select, and just below, it's a form control, a label,
[08:11.040 --> 08:12.540]  and a text field.
[08:12.540 --> 08:17.520]  It's a real code I wrote when I arrived, and it was not working.
[08:17.520 --> 08:24.480]  You can see the variant standard is not applied onto the text field, and you probably already
[08:24.480 --> 08:29.240]  guess why, it's because the text field is already a form control with a label, with
