[00:00.000 --> 00:06.680]  Hi, everyone.
[00:06.680 --> 00:11.480]  So my name is Francis Daniel, and today I will present you Inspector Gadget, an EDPF-based
[00:11.480 --> 00:13.320]  tool to observe containers.
[00:13.320 --> 00:16.360]  So first of all, what are containers?
[00:16.360 --> 00:20.240]  Containers permits you to run applications isolated from each other.
[00:20.240 --> 00:24.160]  So on the figure on the right, you can see that there are actually three containers,
[00:24.160 --> 00:29.920]  and three applications, A, B, and C. To isolate and run those applications, we
[00:29.920 --> 00:37.680]  rely on a container engine like Cryo or container D. The container engine will ask to the operating
[00:37.680 --> 00:42.440]  kernel to the host operating system to create containers for us.
[00:42.440 --> 00:47.240]  So contrary to virtual machine, where you have a guest operating system and an host
[00:47.240 --> 00:53.960]  operating system, all containers here share the same host operating system.
[00:53.960 --> 00:58.680]  So container engine will ask to the kernel to create two containers, but sadly in the
[00:58.680 --> 01:02.800]  Linux kernel, there is no structure used to represent a container.
[01:02.800 --> 01:07.440]  Like you have the task structure, the presenter's task, there is no such structure.
[01:07.440 --> 01:13.760]  Instead, the container relies on several features provided to you by the kernel.
[01:13.760 --> 01:18.240]  To have security isolation, you will rely on the name spaces.
[01:18.240 --> 01:23.640]  For example, with the moon name spaces, each container will have its own set of files,
[01:23.640 --> 01:28.800]  and for example, container A will not be able to access file of container B except
[01:28.800 --> 01:31.120]  explicit sharing.
[01:31.120 --> 01:35.600]  To isolate these time resources, you will use the C group.
[01:35.600 --> 01:39.560]  So you will be able to dedicate a resource to one container.
[01:39.560 --> 01:45.400]  For example, with the memory C group, you will be able to limit the memory footprint
[01:45.400 --> 01:46.640]  of a container.
[01:46.640 --> 01:53.200]  For example, you will set the limit to 2 gigabytes, and if your container allocates
[01:53.200 --> 01:58.520]  and tries to touch 3 gigabytes, it will be out of memory keel.
[01:58.520 --> 02:03.400]  So containers are really cool because they permit you to isolate different workloads.
[02:03.400 --> 02:09.400]  Sadly, using them pose several problems, particularly when something is wrong and to debug them.
[02:09.400 --> 02:13.920]  First, it is harder to attach debugger to a running application.
[02:13.920 --> 02:19.960]  You can still do it, but it is not as simple as running GDB and running things locally.
[02:20.200 --> 02:26.240]  Also, you will need to take into account the communication between different containers.
[02:26.240 --> 02:31.640]  Nowadays, it is not common to explode your application into several micro services.
[02:31.640 --> 02:37.640]  For example, if you have a website, you will have maybe one container for the web server
