[00:00.000 --> 00:06.880]  A warm welcome.
[00:06.880 --> 00:12.280]  This is a hurried up presentation on deploying energy management in households and on challenges
[00:12.280 --> 00:17.720]  that we have encountered from hardware to software stack all the way up to layer 8.
[00:17.720 --> 00:21.880]  The household owners, those are.
[00:21.880 --> 00:27.000]  Analyzing the potential for energy savings, it's on average three major consumers worth
[00:27.000 --> 00:35.000]  investigating and once you will have exchanged your fossil heating for heat pump, all of
[00:35.000 --> 00:41.560]  those are electric, so saving the planet from a term is all about saving electric energy.
[00:41.560 --> 00:47.080]  Well, sure of going wagon maybe, but I love my daily burger.
[00:47.080 --> 00:53.000]  So it's the car and just like in computing, it's climatization and the big iron appliances
[00:53.000 --> 00:56.080]  to cost the most headache.
[00:56.080 --> 01:01.680]  Exchanging those for more efficient models means a major invest and usually it doesn't
[01:01.680 --> 01:05.480]  really buy you any relevant savings in energy.
[01:05.480 --> 01:08.520]  But there is hope, the royal voices.
[01:08.520 --> 01:12.400]  There is still potential for energy cost savings.
[01:12.400 --> 01:18.320]  If you have PV power and have proper control over when you consume that power.
[01:18.320 --> 01:20.560]  So how does that work?
[01:20.560 --> 01:26.280]  For example, doing the washing typically takes around a kilowatt hour.
[01:26.280 --> 01:29.720]  I myself just got a raise to four to six cents.
[01:29.720 --> 01:35.160]  So that's my energy cost when I'm doing my washing at night using power from the grid.
[01:35.160 --> 01:41.200]  Now if you have an energy management system postpone the washing round to around noon the
[01:41.200 --> 01:47.480]  next day or more precisely to when there is excess power, PV power available from your
[01:47.480 --> 01:49.000]  roof.
[01:49.000 --> 01:54.280]  And cost is only like a feed-in compensation, that's seven cents in my case.
[01:54.280 --> 02:02.360]  Figures will vary between countries in Germany moving all your clothing and dish washings
[02:02.360 --> 02:06.920]  will save you more than a hundred euros a year.
[02:06.920 --> 02:11.320]  Potential savings in EV charging and heating are even larger.
[02:11.320 --> 02:17.440]  And now here's your bonus for listening rather than just skipping through abstracts.
[02:17.440 --> 02:24.640]  This would also work without a solar plant if you're using a variable power tariff.
[02:24.640 --> 02:32.400]  And those you might know them, you pay about the price of the power stock exchange plus
[02:32.400 --> 02:40.320]  a transmission fee and savings are less, however, still well worth it.
[02:40.320 --> 02:42.880]  Now on to the challenges.
[02:42.880 --> 02:48.480]  First is getting hold of an EV or a new time of a heat pump and a competent installer.
[02:48.480 --> 02:52.080]  That's a problem of its own, let alone for a good price.
[02:52.080 --> 02:54.800]  Well, let's skip that.
[02:54.800 --> 02:56.360]  Next is housing.
[02:56.360 --> 03:01.880]  In apartment buildings there's unresolved problems in describing cost of PV and EV charging
[03:01.880 --> 03:09.840]  energy to single users and only building owners will possess the required information on wiring.
[03:09.840 --> 03:17.960]  This electric and HVAC devices contracts with utility companies and contractors and so on.
[03:17.960 --> 03:25.600]  And often they will not give any renter the allowance to modify anything, let alone property
[03:25.600 --> 03:31.480]  management companies that fight even balcony plants just for the look of it.
[03:31.480 --> 03:36.320]  So effectively energy management deployments are limited to home owners that have physical
[03:36.320 --> 03:41.160]  and logical access to all relevant devices.
[03:41.160 --> 03:45.560]  So how does it work once your home qualifies for it?
[03:45.560 --> 03:50.480]  You need a computer on-site that can talk to inverter, EV charger, heat pump and your
[03:50.480 --> 03:52.080]  white goods devices.
[03:52.080 --> 03:56.120]  So the first hurdle is to physically connect to those.
[03:56.120 --> 04:03.360]  Local control rules, running in the cloud is unreliable for technical and other reasons.
[04:03.360 --> 04:10.200]  Finding a proper state machine is a challenge and you probably know all the risk to operations
[04:10.200 --> 04:18.000]  and financials with cloud services when suddenly that company drops out of service.
[04:18.000 --> 04:22.480]  Almost all inverters on what was based most only have a serial connector and there's
[04:22.480 --> 04:26.440]  serial to LAN or Wi-Fi adapters to take care of.
[04:26.440 --> 04:32.640]  So technically it is not a big deal but often it's a deal breaker when the installer on-site
[04:32.640 --> 04:37.760]  doesn't know and the ones in the know, the software people, they don't have access to
[04:37.760 --> 04:40.560]  the site physically.
[04:40.560 --> 04:45.080]  Modbus is a simple protocol but then again every vendor has its own list of registers
[04:45.080 --> 04:46.080]  and logic.
[04:46.080 --> 04:54.620]  To be fair, most are offering specs for downloads, however not so much about the logic but information
[04:54.620 --> 04:59.040]  is often incomplete and hard to get hold of.
[04:59.040 --> 05:03.080]  But the harder part is that there's no standardization in that.
[05:03.080 --> 05:09.240]  So implementers like ourselves have to figure out for every single device.
[05:09.240 --> 05:15.080]  For chargers there's no wireline equivalent and those put up another kind of challenge.
[05:15.080 --> 05:19.440]  There is no single unified logic in talking to those.
[05:19.440 --> 05:26.040]  There are also next-gen protocols such as eBus or OCPP and those become available in
[05:26.040 --> 05:29.840]  more and more field-deployed hardware.
[05:29.840 --> 05:36.440]  Chargers, they all can be controlled because that used to be a prerequisite in many countries
[05:36.440 --> 05:45.240]  to get the installation government funded, however, control usually means app only, right?
[05:45.240 --> 05:51.440]  Some even use the Bluetooth link and both are challenges to make them become part of
[05:51.440 --> 05:54.560]  any automation.
[05:54.560 --> 06:00.600]  Now connecting devices is where OpenHUB and even more so its community are great.
[06:00.600 --> 06:03.280]  This is what we use in our product.
[06:03.280 --> 06:09.000]  In the energy device domain there's OpenHUB bindings for more or less every officially
[06:09.000 --> 06:10.920]  published API.
[06:10.920 --> 06:17.320]  Bindings are modules to translate device-specific communications to the abstract representation
[06:17.320 --> 06:21.120]  layer that OpenHUB is based on.
[06:21.120 --> 06:28.320]  Many source-minded people have figured out how to control their own devices and thankfully
[06:28.320 --> 06:30.920]  shared all of this information.
[06:30.920 --> 06:41.280]  So together we have compiled a pretty good knowledge base.
[06:41.280 --> 06:49.040]  For chargers we moved on to EVCC, EV Electric Vehicle Charge Controller, that's another
[06:49.040 --> 06:52.240]  great open-source software.
[06:52.240 --> 06:57.280]  It's dedicated to handling charging and it has a web API too.
[06:57.280 --> 07:06.080]  So now we only have a single API, albeit more complex, and a unified logic layer to cope
[07:06.080 --> 07:09.280]  with for chargers.
[07:09.280 --> 07:17.320]  Oh yeah, this one is my favorite low-light slide.
[07:18.040 --> 07:21.760]  To inverters in the field it's often limited.
[07:21.760 --> 07:30.500]  All relevant device settings are such as to enable external control, all modbos at SG
[07:30.500 --> 07:34.600]  Ready related parameters, they are on admin level.
[07:34.600 --> 07:42.280]  You might know that from the HVAC industry but with inverters most installers don't even
[07:42.280 --> 07:49.480]  hand the password of the device to the owner of the device.
