[00:00.000 --> 00:07.000]  Welcome, good morning everybody.
[00:07.000 --> 00:11.000]  So today I want to talk a little bit about change data capture, CDC,
[00:11.000 --> 00:14.000]  stream processing, with the Patrick link.
[00:14.000 --> 00:17.000]  This talk is split into three parts.
[00:17.000 --> 00:20.000]  The first part is for people that have never heard of link before.
[00:20.000 --> 00:25.000]  The second part is maybe a little bit more deep, but I think it's really, really deep.
[00:25.000 --> 00:30.000]  And then the third part, we could dive really, really deep into under the hood.
[00:30.000 --> 00:35.000]  So just to make you particularly interested in the software and what we are doing here.
[00:35.000 --> 00:39.000]  So yeah, I already got an introduction, but just to summarize it.
[00:39.000 --> 00:48.000]  So like from the open source side, part of the link even before it became part of the Patrick software foundation in 2014.
[00:48.000 --> 00:51.000]  I'm a member of the management committee of the Patrick link.
[00:51.000 --> 00:56.000]  In the years I also made it to the top contributors according to additions in the top one.
[00:56.000 --> 01:00.000]  I don't know which refactoring I did to the top one contributor.
[01:00.000 --> 01:07.000]  Yeah, and among the core people that try to design things equal every day in the world.
[01:07.000 --> 01:11.000]  Can you realize, yeah, I went through a couple of companies.
[01:11.000 --> 01:15.000]  The latest one where I was a co-founder was in Maroc.
[01:15.000 --> 01:19.000]  Maroc got acquired by Confluent beginning of this year.
[01:19.000 --> 01:23.000]  And now I'm a principal software engineer at Confluent.
[01:23.000 --> 01:25.000]  So let's talk about it.
[01:25.000 --> 01:32.000]  Before I start with an introduction to the link, I would actually like to talk about stream processing in general.
[01:32.000 --> 01:40.000]  Because when you do stream processing, you basically always can identify roughly like four building blocks.
[01:40.000 --> 01:42.000]  So let's talk about those building blocks first.
[01:42.000 --> 01:49.000]  So first of all, you need streams, right? You want to have data, you maybe want to create some pipeline from source to sync.
[01:49.000 --> 01:56.000]  You might want to distribute your streams because you have a lot of data.
[01:56.000 --> 01:59.000]  So maybe you want to scale out and scale in depending on the load.
[01:59.000 --> 02:02.000]  You want to join streams together.
[02:02.000 --> 02:03.000]  You want to enrich streams.
[02:03.000 --> 02:06.000]  Maybe there is a control stream and the main stream.
[02:06.000 --> 02:12.000]  So you want to dynamically modify the behavior of the application while the application is running.
[02:12.000 --> 02:15.000]  And yeah, sometimes there is a bug in your application.
[02:15.000 --> 02:21.000]  Or you just want to trace certain behavior, then you also want to be in play streams.
[02:21.000 --> 02:26.000]  Time, working with time is also a very, very important concept.
[02:26.000 --> 02:31.000]  Because on one side, you want to make progress in your pipeline.
[02:31.000 --> 02:36.000]  But at some points, you also want to sync for an ISO if you have two streams.
[02:36.000 --> 02:38.000]  Maybe you want to wait for the other stream.
[02:38.000 --> 02:43.000]  Maybe you want to block or you want to buffer some of the streams.
[02:43.000 --> 02:48.000]  Maybe if the second event doesn't come in, you want to time out after some time.
[02:48.000 --> 02:51.000]  Maybe you also want to replay historical data.
[02:51.000 --> 02:54.000]  So you want to fast forward the time.
[02:54.000 --> 02:57.000]  You don't want to wait another hour to fire an hour window.
[02:57.000 --> 03:01.000]  No, this should be quicker.
[03:01.000 --> 03:10.000]  Then when we talk about buffering, what I just said, or in general, storing data state is a very important component for processing.
[03:10.000 --> 03:18.000]  State can be, for example, a machine learning model that is updated from time to time to classify your incoming streams.
[03:18.000 --> 03:24.000]  It can be a cache if you don't want to look up in the database for every record that comes in.
[03:24.000 --> 03:31.000]  In a general state, a low state can be an order of classified.
[03:31.000 --> 03:36.000]  And state also, at some point, needs to be acquired.
[03:36.000 --> 03:45.000]  If you have a state full streaming application, a very useful component is helped by actually making sure that I can create this natural of my streaming repository.
[03:45.000 --> 03:48.000]  So I wanted a state backup to my streaming application.
[03:48.000 --> 03:55.000]  I wanted to make a version of it, so every night I want to create a screenshot version.
[03:55.000 --> 04:03.000]  Maybe I want a full streaming application in a staging cluster, in a gelatin cluster, and play around with the data in the state.
[04:03.000 --> 04:12.000]  Maybe I want to do some testing, or I just want to time track the process of my application.
[04:12.000 --> 04:19.000]  So let's talk a little bit about what makes Flink unique compared to other competitors.
[04:19.000 --> 04:27.000]  First of all, what I just showed is that Flink is one of the best stream processors for all of these use cases and building blocks.
[04:27.000 --> 04:35.000]  So when you design a streaming application, you can start with a whiteboard and you just draw some circles.
[04:35.000 --> 04:36.000]  What do you actually want to do?
[04:36.000 --> 04:38.000]  Maybe you want to reform some sources.
[04:38.000 --> 04:40.000]  Maybe you want to normalize your data.
[04:40.000 --> 04:41.000]  You want to filter some data out.
[04:41.000 --> 04:46.000]  You want to join the data and in the end you really want to sync it somewhere else.
[04:46.000 --> 04:47.000]  But this is how it starts.
[04:47.000 --> 04:52.000]  And this is also how you have to reason about when you're creating a pipeline.
[04:52.000 --> 04:58.000]  And what Flink does under the hood is it has a parallelism and scalability built in.
[04:58.000 --> 05:03.000]  So you don't have to think of threading or network transfers or anything like that.
[05:03.000 --> 05:08.000]  Under the hood there are sharks, there are petitions depending on the connectors.
[05:08.000 --> 05:14.000]  There are sub-tasks that in parallel execute operations.
[05:14.000 --> 05:22.000]  Each of these tasks, some of these tasks can stay full and can have some storage local to the operator.
[05:22.000 --> 05:23.000]  Very important.
[05:23.000 --> 05:28.000]  So the state basically scales out and scales in with the operator.
[05:28.000 --> 05:34.000]  You don't need to vary to a database which would increase data.
[05:34.000 --> 05:41.000]  And then, of course, it travels and then the whole pipeline runs.
[05:41.000 --> 05:43.000]  And now comes the important part.
[05:43.000 --> 05:52.000]  What Flink explained really unique is that this possibility of creating an existence snapshot of your entire stream of technology.
[05:52.000 --> 05:58.000]  So there are, like, what we call the checkpoint barriers which are traveling through the topology
[05:58.000 --> 06:02.000]  and make a backup of each state of the operator.
[06:02.000 --> 06:15.000]  And then this snapshot is then persisted on a long-term storage like S3 or HDFS or some other distributed kind of system.
[06:15.000 --> 06:20.000]  When we talk about use cases, there are plenty of use cases.
