[00:00.000 --> 00:08.560]  All right, good.
[00:08.560 --> 00:13.600]  So thank you for joining me this afternoon for this presentation.
[00:13.600 --> 00:20.200]  I'm a researcher at KU Leuven, and I'll be talking about our work on a reasoning engine
[00:20.200 --> 00:23.960]  for FODOT.
[00:23.960 --> 00:32.000]  So this morning, I connected to Chad GPT, and I asked him, or it, I don't know, what's
[00:32.000 --> 00:38.080]  the, I'm twice the age of my son, who is 15 years younger than me, or old MI.
[00:38.080 --> 00:43.320]  And it started pretty well by saying that let's give it, let's give a variable a name,
[00:43.320 --> 00:45.760]  and then let's write the formula.
[00:45.760 --> 00:51.560]  But then when it tried to solve the equation, somehow he got lost, and he was not able to
[00:51.560 --> 00:54.120]  find the correct answer.
[00:54.120 --> 01:00.800]  And that shows that Chad GPT is very capable at understanding English, but not so much
[01:00.800 --> 01:09.400]  about reasoning, about, it does not have the cognitive skills to solve the equation.
[01:09.400 --> 01:14.920]  And so if we ever will be able to create a machine that can pass the Turing test, of
[01:14.920 --> 01:21.240]  course it needs to be able to handle natural language, but it also has to have the cognitive
[01:21.240 --> 01:26.320]  skills that we human have, like those listed here, we should be able, it should be able
[01:26.320 --> 01:30.600]  to learn from others through symbolic communication.
[01:30.600 --> 01:35.160]  It should be able to apply knowledge in new ways to perform new tasks, like the capacity
[01:35.160 --> 01:41.600]  to solve an equation, that's a knowledge that you can apply in many different settings.
[01:41.600 --> 01:47.520]  And it should have other cognitive skills, like the capability to ask relevant questions,
[01:47.520 --> 01:49.920]  and to explain its reasoning.
[01:49.920 --> 01:56.760]  In all these types of skills, we try to implement them, and the field of study at the university
[01:56.760 --> 02:02.840]  is called knowledge representation and reasoning, and that's what we are working on.
[02:02.840 --> 02:09.800]  Now one way to have a computer solve a riddle, like on the edge that I gave earlier, is to
[02:09.800 --> 02:13.400]  program the system, to program the computer.
[02:13.400 --> 02:18.960]  But there's a big difference between a statement in a program and a statement of knowledge.
[02:18.960 --> 02:27.440]  If, for example, I write in a program that F is equal to M multiplied by A, that's a
[02:27.440 --> 02:33.800]  statement in a procedure, you can compute F if you know M and A. But that's quite different
[02:33.800 --> 02:40.080]  from what you would see in a physics book, where the second law of motion would really
[02:40.080 --> 02:46.240]  mean that given any two of those quantities, you can compute the third one.
[02:46.240 --> 02:51.360]  And so you can really reason in multiple directions, unlike in a procedural statement.
[02:51.360 --> 02:55.880]  So that's a big difference between a program and knowledge.
[02:55.880 --> 03:00.320]  And you might think that a prologue, because it's a so-called declarative language, does
[03:00.320 --> 03:04.000]  not have that problem, but in fact it does.
[03:04.000 --> 03:10.760]  If you have a prologue program, like you can vote if you are more than 18, it can only
[03:10.760 --> 03:15.560]  compute vote from the fact that you are more than 18 or not.
[03:15.560 --> 03:17.640]  It cannot go the other way around.
[03:17.640 --> 03:22.360]  And that's quite unlike what you would write in a logic statement, that you can vote if
[03:22.360 --> 03:27.160]  and only if your age is larger than 18.
[03:27.160 --> 03:31.800]  And with that kind of statement, you should be able to say, to infer your age or at least
[03:31.800 --> 03:37.280]  a minimum value of your age from your right to vote.
[03:37.280 --> 03:39.200]  So really, a prologue is a programming language.
[03:39.200 --> 03:43.320]  It's not a knowledge representation language.
[03:43.320 --> 03:47.520]  Now, what is programming?
[03:47.520 --> 03:53.200]  It's actually the process of translating the knowledge that we have of a problem into a
[03:53.200 --> 03:58.240]  program that can then give a problem, solve it.
[03:58.240 --> 04:01.720]  And then if you have another problem, you have to apply that knowledge and convert it
[04:01.720 --> 04:04.680]  into another program, possibly, to solve it.
[04:04.680 --> 04:10.640]  And so depending on what kind of information you get as input and what kind of information
[04:10.640 --> 04:14.840]  you want as output, you will have to write different programs.
[04:14.840 --> 04:20.160]  And sometimes these programs will be quite different, which is a pity because the knowledge
