[00:00.000 --> 00:07.560]  Thank you.
[00:07.560 --> 00:12.520]  We start with a small introduction to have a bit of context about Djubaco.
[00:12.520 --> 00:19.520]  I'm Mathieu Goetje, I'm a freelance developer and I'm working, my main client is the Qwix
[00:19.520 --> 00:25.680]  project and for there I'm the lead developer of Flimzim.
[00:25.680 --> 00:26.680]  What is Qwix?
[00:26.680 --> 00:33.520]  Qwix is a project to provide content where internet is not there and the question we
[00:33.520 --> 00:38.600]  try to answer and we have answered is how to distribute static websites.
[00:38.600 --> 00:46.600]  And for example, if you don't know all Wikipedia in English, it's 95 gigabytes and it's 6.5
[00:46.600 --> 00:49.760]  billion articles and media.
[00:49.760 --> 00:57.840]  And to do that we use the Zim format. It's an archive format for web content and content
[00:57.840 --> 01:03.640]  is partially compressed so you can compress textual content or not compress images or
[01:03.640 --> 01:09.680]  videos and you can do a random access without initial decompression so you can access the
[01:09.680 --> 01:12.560]  content inside the archive directly.
[01:12.560 --> 01:18.880]  It works well and pretty efficient but there is a few flaws within the design and the archive
[01:18.880 --> 01:26.680]  is really tied to web contents and to Qwix and you cannot add another metadata but the
[01:26.680 --> 01:32.680]  question I tried to answer is could we reuse the Zim format, the good idea of the Zim format
[01:32.680 --> 01:36.400]  and do better and more generic.
[01:36.400 --> 01:37.400]  So here is Djubaco.
[01:37.400 --> 01:44.560]  Djubaco is a Japanese name for the bento boxes and it's more boxes you can compose the way
[01:44.560 --> 01:47.680]  you want depending on your needs.
[01:47.680 --> 01:53.920]  And Djubaco is a new format independent of Qwix project and this is a good idea of the
[01:53.920 --> 01:57.560]  Zim format but generic.
[01:57.560 --> 01:59.640]  And Djubaco is a meta container.
[01:59.640 --> 02:05.600]  It tells you how to store things but it's up to you to decide what do you want to store
[02:05.600 --> 02:14.120]  and how do you want to organize them and there is a reference library written in Rust.
[02:14.120 --> 02:20.040]  The feature of Djubaco, it's mainly read only, archive are mainly read only, this is selective
[02:20.040 --> 02:24.280]  compression so you can compress the content or not.
[02:24.280 --> 02:29.280]  No initial decompression needed and you can do random access on the archive.
[02:29.280 --> 02:35.280]  It's configurable so you can decide which property you want on the entries.
[02:35.280 --> 02:42.720]  There is an extension system so your user can download an archive and they can download
[02:42.720 --> 02:48.440]  extra content to add content to the archive you provide.
[02:48.440 --> 02:53.680]  It's embeddable in another file and it's composable so you can compose different kind of entry
[02:53.680 --> 02:55.360]  together in the same container.
[02:55.360 --> 03:03.720]  So it checks them and a few features to do, signature and encryption, direct access to
[03:03.720 --> 03:10.080]  uncompressed content, content deduplication, modification, different patch between archive
[03:10.080 --> 03:13.840]  and overlay.
[03:13.840 --> 03:19.240]  Let's have a quick tour on the internal structure.
[03:19.240 --> 03:25.840]  The Djubaco containers are organized around packs.
[03:25.840 --> 03:29.880]  There is three kinds of packs, manifest packs, content and the directory.
[03:29.880 --> 03:34.400]  Each pack can be stored individually in a file in the file system or they can be put
[03:34.400 --> 03:41.240]  together in one file and then you distribute this file to your user.
[03:41.240 --> 03:46.480]  The manifest pack is the main pack, this is a pack you will try to open when you want
[03:46.480 --> 03:54.040]  to open a Djubaco container and it's mainly a list of all the other packs of the container.
[03:54.040 --> 03:59.520]  The content pack is a pack which contains the raw content, compressed or not, and without
[03:59.520 --> 04:02.280]  any metadata.
