[00:00.000 --> 00:08.320]  Thanks, everybody, for coming.
[00:08.320 --> 00:12.160]  So yeah, I am not from the corporation, I'm from the Mozilla Foundation.
[00:12.160 --> 00:16.320]  And so besides being the non-profit behind the Firefox browser, we do a lot of other
[00:16.320 --> 00:17.480]  cool stuff.
[00:17.480 --> 00:21.440]  And so for those of you not familiar with it, I do want to go briefly over that.
[00:21.440 --> 00:25.640]  So the Mozilla Foundation, of course, like the corporation, is mission-driven and believes
[00:25.640 --> 00:30.800]  that the internet should be open, accessible, free-fair.
[00:30.800 --> 00:35.640]  And so at the Foundation side, we do a lot of interesting research, a lot of it into
[00:35.640 --> 00:40.560]  social media, and a lot of it related to kind of accountability and transparency of social
[00:40.560 --> 00:44.920]  media, the kind of the systemic problems that we see on a lot of the web.
[00:44.920 --> 00:48.600]  So some of you might have even participated in some of our research through, for instance,
[00:48.600 --> 00:53.520]  for Greta's reporter, through data donations from lots of people, we were able to actually
[00:53.520 --> 00:58.520]  investigate YouTube's algorithm in a way that there are a lot of us to get a view of
[00:58.520 --> 01:02.320]  it from the outside, right, because YouTube is not necessarily handing over that information
[01:02.320 --> 01:04.560]  right now.
[01:04.560 --> 01:09.720]  We've also done, we do policy work around kind of legislative files that either have great
[01:09.720 --> 01:13.440]  potential for our mission or might affect our mission in certain ways.
[01:13.440 --> 01:17.360]  You might have also followed some of this work over the years.
[01:17.360 --> 01:20.080]  We do advocacy and campaigning.
[01:20.080 --> 01:23.440]  And then we publish every year an internet health report.
[01:23.440 --> 01:27.520]  And so this year's internet health report is really worth checking out because it's actually
[01:27.520 --> 01:29.520]  in the form of a podcast.
[01:29.520 --> 01:34.040]  So you can find that and listen to those episodes.
[01:34.040 --> 01:40.840]  And Moz Fest also is taking place online in hubs in March.
[01:40.840 --> 01:43.800]  And then it will take place physically in a couple of different locations in June, but
[01:43.800 --> 01:47.760]  I would definitely encourage you to attend some of those sessions happening.
[01:48.320 --> 01:52.480]  Okay, but I'm going to talk to you about something very specific today.
[01:52.480 --> 01:55.440]  And I'm curious how many people here have actually heard of the Digital Services Act.
[01:55.440 --> 01:57.640]  Just raise your hand if you've heard of it.
[01:57.640 --> 01:58.640]  Okay, great.
[01:58.640 --> 01:59.640]  So it's a big deal.
[01:59.640 --> 02:00.640]  I think it's a big deal.
[02:00.640 --> 02:01.640]  Great.
[02:01.640 --> 02:05.840]  And as I'm going to go through really an overview of the Digital Services Act and particularly
[02:05.840 --> 02:12.840]  the obligations to a certain kind of actor, this is, yeah, this is an ongoing conversation.
[02:12.840 --> 02:16.760]  So I'm really curious in your thoughts as well about this.
[02:16.760 --> 02:21.880]  So I'm going to talk about why did the EU decide to make a Digital Services Act?
[02:21.880 --> 02:24.000]  What is roughly in this?
[02:24.000 --> 02:26.040]  And what are the next steps where are we in the process?
[02:26.040 --> 02:31.040]  Because while the Digital Services Act is agreed and is applied, it's enforced, sorry,
[02:31.040 --> 02:34.000]  it's not actually been applied to the services yet.
[02:34.000 --> 02:38.200]  We have to wait until the end of the year and until next year, actually.
[02:38.200 --> 02:42.160]  So first of all, why create a Digital Services Act?
[02:42.160 --> 02:48.720]  So the DSA is really designed to update the e-commerce rules, which are now almost two
[02:48.720 --> 02:49.960]  decades old.
[02:49.960 --> 02:52.240]  So it really takes that for the internet stack.
[02:52.240 --> 02:57.600]  And then it adds on to that, looking at kind of the way that the web has changed today.
[02:57.600 --> 03:02.340]  As we know in the last 20 years, sort of the handful of large companies have essentially
[03:02.340 --> 03:04.840]  taken over the web.
[03:04.840 --> 03:11.040]  And so at the same time, there are many countries that are trying to address social media and
[03:11.040 --> 03:12.880]  web policy.
[03:12.880 --> 03:16.520]  And the idea is that the EU can do this in a harmonized way, rather than having one law
[03:16.520 --> 03:17.920]  in one country and one law in another.
[03:17.920 --> 03:23.800]  We kind of make a harmonized playing field, which is then easier for providers as well
[03:23.800 --> 03:26.080]  as for the end user.
[03:26.080 --> 03:30.840]  And the DSA should really be seen also in conversation with the Digital Markets Act,
[03:30.840 --> 03:33.720]  which is probably really interesting to many of you here.
[03:33.720 --> 03:36.880]  And these really are two sides of a coin in a sense, and they're both different ways of
[03:36.880 --> 03:39.720]  addressing a problem of fairness.
[03:39.720 --> 03:44.120]  So the Digital Markets Act is really intervening in saying, OK, there are certain gatekeepers
[03:44.120 --> 03:47.720]  that have actually used their market power in an unfair way.
[03:47.720 --> 03:53.800]  And we need to update our competition law in certain ways.
[03:53.800 --> 03:58.800]  And then sort of a macro level fairness, fairness between different services.
[03:58.800 --> 04:02.800]  And then you have the Digital Services Act, which is fairness in a micro sense.
[04:02.800 --> 04:06.440]  It's fairness between a service provider and the end user.
[04:06.440 --> 04:12.800]  Where does that service deliver to the end user in an illegible way?
[04:12.800 --> 04:13.800]  Is it transparent?
[04:13.800 --> 04:16.640]  Is it accountable for the service that it's ultimately giving them?
[04:16.640 --> 04:22.000]  And it tries to kind of raise the bar instead of high bar when it comes to fairness towards
[04:22.000 --> 04:24.760]  end users.
[04:24.760 --> 04:28.000]  So two sides of the coin.
[04:28.000 --> 04:29.400]  Yes, what is it?
[04:29.400 --> 04:30.640]  What is the Digital Services Act?
[04:30.640 --> 04:31.640]  What does it do?
[04:31.640 --> 04:34.240]  Well, first of all, who does it apply to?
[04:34.240 --> 04:37.360]  As I mentioned, it's really taken the e-commerce directive.
[04:37.360 --> 04:41.240]  So for the internet stack, it's essentially moving that across.
[04:41.240 --> 04:47.000]  So that it categorizes the services that it applies to these four different categories.
[04:47.000 --> 04:53.320]  And the most interesting, the most important obligations are on this new category that
[04:53.320 --> 04:58.840]  it creates, which is very large online platforms and very large online search engines, of which
[04:58.840 --> 05:01.960]  there is one, maybe two.
[05:01.960 --> 05:05.640]  And also online platforms themselves, and the idea of an online platform being different
[05:05.640 --> 05:10.640]  than a hosting service, is that it's disseminating user-generated content publicly.
[05:10.640 --> 05:17.920]  But I'm really going to be focused on this middle blue block.
[05:17.920 --> 05:20.640]  So it comes up with this new term, which is a VLOP.
[05:20.640 --> 05:21.640]  Some people say VLOP.
[05:21.640 --> 05:22.640]  I like to say VLOP.
[05:22.640 --> 05:23.640]  It's really up to you.
[05:23.640 --> 05:31.720]  But the idea is that a VLOP is a platform that is serving over 10% of the EU population,
[05:31.720 --> 05:38.000]  that it has a systemic role in our information ecosystem, and therefore it deserves to have
[05:38.000 --> 05:41.280]  some corresponding responsibilities.
[05:41.280 --> 05:45.640]  So it relates to 45 million active monthly users.
[05:45.640 --> 05:48.080]  You might ask, what is an active monthly user?
[05:48.080 --> 05:50.200]  It is a good question.
[05:50.200 --> 05:54.880]  And platforms are in the process of counting this up right now.
[05:54.880 --> 05:57.440]  And of course, there are going to be different ways that this can be counted.
[05:57.440 --> 06:00.520]  The commission has provided some guidelines around this.
[06:00.520 --> 06:04.200]  There's still some ambiguity.
[06:04.200 --> 06:11.560]  And also, very large online search engines doesn't fit so beautifully into the DSA structure.
[06:11.560 --> 06:15.120]  This was added by the council, but the idea is that search engines that also have the
[06:15.120 --> 06:22.040]  same threshold also should be accountable in the same kinds of ways.
[06:22.040 --> 06:26.960]  So the DSA takes an asymmetric structure.
[06:26.960 --> 06:30.000]  That's usually not a difficult word for me.
[06:30.000 --> 06:36.040]  So the idea is that the larger you are, the more obligations that you have.
[06:36.040 --> 06:39.720]  And there are key exemptions for small and micro enterprises.
[06:39.720 --> 06:43.520]  So this is important to maybe a small, fediverse actor.
[06:43.520 --> 06:50.120]  There are exemptions if you have only a certain number of employees or only a certain revenue.
[06:50.120 --> 06:55.720]  But for the other ones, there are real obligations and there are the possibility of fines.
[06:55.720 --> 06:58.400]  So the DSA is a thing to be taken seriously.
[06:58.400 --> 07:04.160]  And this gives a kind of outline of the different obligations that I can go over more so specifically
