[00:00.000 --> 00:17.320]  Awesome, thank you.
[00:17.320 --> 00:23.240]  So my voice was destroyed yesterday in the pub, so everyone has to be very quiet.
[00:23.240 --> 00:24.240]  Awesome.
[00:24.240 --> 00:26.240]  Good job.
[00:26.240 --> 00:33.440]  Okay, awesome surprise with the Secure Boot demo, super awesome.
[00:33.440 --> 00:35.040]  I did not know about it.
[00:35.040 --> 00:41.920]  Yeah, we were talking about Secure Boot on NixOS, so this was a team effort by this fine
[00:41.920 --> 00:46.520]  gentleman and the other one over there who were happily coding while we were sitting
[00:46.520 --> 00:52.400]  on a boat while I was enjoying life.
[00:52.400 --> 00:57.280]  And all of this happened mostly at the Ocean Sprint in Lanzarote, which was also an epic
[00:57.280 --> 01:03.000]  event for getting stuff done in the Nix world, I can totally recommend going there.
[01:03.000 --> 01:11.280]  Yeah, so Secure Boot, I thought I introduced the shortest possible introduction to it that
[01:11.280 --> 01:14.720]  I can make.
[01:14.720 --> 01:19.360]  And then we go on, what is this Lanzarote thing and what status is it and how can you
[01:19.360 --> 01:21.880]  contribute.
[01:21.880 --> 01:27.520]  But what's Secure Boot, so what's the problem, so imagine you're here at FOSSTEM, your laptop
[01:27.520 --> 01:34.600]  is encrypted, then you go out to the pub where you scream too loud and you can't talk afterwards.
[01:34.600 --> 01:38.720]  And while that is going on, your laptop sits in your hotel room alone, minding its own
[01:38.720 --> 01:42.840]  business and then many hours later you come back and type your passwords in there.
[01:42.840 --> 01:48.000]  So is this still the software you think it is on your laptop?
[01:48.000 --> 01:53.400]  And without Secure Boot you don't really know.
[01:53.400 --> 01:59.840]  So Secure Boot is one solution to this, it's not a complete solution but it mitigates some
[01:59.840 --> 02:09.680]  of it and the way it works in a very tiny nutshell is that your EFI firmware just verifies
[02:09.680 --> 02:10.680]  what it's booting.
[02:10.680 --> 02:15.120]  So it just takes the bootloader, checks the signature, cryptographic signature on it and
[02:15.120 --> 02:21.120]  then the bootloader has then to look at the operating system it boots and also check a
[02:21.120 --> 02:22.400]  cryptographic signature on it.
[02:22.400 --> 02:27.280]  So you have like a chain of trust from your firmware all the way to your operating system
[02:27.280 --> 02:35.480]  and if this all works then someone else can't easily replace the operating system with something
[02:35.480 --> 02:40.280]  that your laptop doesn't trust.
[02:40.280 --> 02:46.200]  Now the question is okay it verifies cryptographic signatures with what?
[02:46.200 --> 02:55.600]  And typically if you buy a laptop it will trust the Microsoft CAA and some OEM CAA.
[02:55.600 --> 03:00.960]  And this is fine for Windows obviously and it's also fine for some of the other big distros
[03:00.960 --> 03:05.480]  so you can take a Ubuntu and it works on a Secure Boot laptop, you can take a Fedora
[03:05.480 --> 03:12.600]  it just works, unfortunately for NixOS it does not.
[03:12.600 --> 03:21.200]  So what's the issue with Secure Boot and NixOS, I think fundamentally it's a very different
[03:21.200 --> 03:27.200]  model from other Linux distributions there's not like a, there is like a thing that centrally
[03:27.200 --> 03:32.080]  builds packets and you can download it from somewhere but it's mostly build cache, you
[03:32.080 --> 03:33.200]  don't have to use it.
[03:33.200 --> 03:41.440]  You can build all of this locally and also you can do, it's so configurable so what would
[03:41.440 --> 03:46.920]  you even, so it's very easy to end up with an init rd that is not cached over the kernel
[03:46.920 --> 03:52.160]  that's not cached on cache.nixos and then you will obviously not get signed binaries
[03:52.160 --> 03:58.880]  even if cache.nixos would sign them which it does not for Secure Boot.
[03:58.880 --> 04:07.120]  So for now we're targeting your own CA so you can just say fuck it, I will enroll my
[04:07.120 --> 04:10.360]  own keys to the firmware.
[04:10.360 --> 04:16.640]  This is scary, it also looks scary if you do it but it works reasonably well.
[04:16.640 --> 04:20.840]  But then comes the question, every time I change the software on my laptop I just have
[04:20.840 --> 04:25.640]  to manually sign it and that sucks, no one wants to do that.
[04:25.640 --> 04:30.400]  So now we come to what is this lanza-botel thing actually, this is actually the tooling
[04:30.400 --> 04:35.640]  that makes all of this convenient for nixos so lanza-botel takes care of automatically
[04:35.640 --> 04:45.440]  re-signing your system d boot, your kernel, whenever you do nixos rebuild, this is a one
[04:45.440 --> 04:46.680]  line description of it.
[04:46.680 --> 04:53.360]  It does not take care of generating keys initially, it does not take care of enrolling them in
[04:53.360 --> 04:58.520]  the firmware, this is something the user has to do once right now.
[04:58.520 --> 05:03.760]  We have quick start documentation for that, so I've heard that it has worked for other
[05:03.760 --> 05:04.760]  people.
[05:04.760 --> 05:18.440]  Not bad, I have also heard that it did not work for other people but so far I think the
[05:18.440 --> 05:24.920]  likelihood of trashing your system with it has been very low, Niklas was very busy fixing
[05:24.920 --> 05:31.360]  the onboarding device.
[05:31.360 --> 05:37.840]  All of this revolves around unified kernel images, this is pretty recent technology out
[05:37.840 --> 05:46.520]  of the system d sphere, a unified kernel image is a normal UEFIPE file that can just be booted
[05:46.520 --> 05:54.040]  by the firmware with some extra bits, so it's basically a tiny archive of Linux kernel,
[05:54.040 --> 05:59.600]  the Linux kernel's command line, and then it also contains some meta information, so
[05:59.600 --> 06:05.200]  there's an OS release file in there and it has the name of this thing, the version and
[06:05.200 --> 06:12.480]  this is basically used to generate the entry in the menu when you select what to boot in
[06:12.480 --> 06:14.520]  system d boot.
[06:14.520 --> 06:18.960]  And then because it's all self-contained you just sign this one thing and you're good with
[06:18.960 --> 06:23.960]  secure boot.
[06:23.960 --> 06:32.160]  As we see grub support is nearing completion and also Ryan keeps telling me Linux support
[06:32.160 --> 06:38.720]  is also planned, but so far system d boot is the thing to go.
[06:38.720 --> 06:45.320]  Now to the sort of, so there is a PE stub, so to form a unified kernel image you have
[06:45.320 --> 06:51.600]  to stub on some PE image, some PE binary at the front, there's one from system d, it's
[06:51.600 --> 06:57.120]  called system d stub, and it basically does exactly what I just told you, so you have
[06:57.120 --> 07:01.480]  like the stub at the front, then the command line, the kernel init-rd and the OS release
[07:01.480 --> 07:05.840]  which I ignored on this picture, and it works.
[07:05.840 --> 07:14.160]  The problem for NixOS is that this kernel command line basically contains a store path
[07:14.160 --> 07:22.640]  that changes for every NixOS generation, so whenever you do NixOS rebuild, if you experiment
[07:22.640 --> 07:31.000]  with your system a bit, you will have a new one of these files in your slash boot directory.
[07:31.000 --> 07:35.280]  This is problematic because you also have the kernel and init-rd in this one blob and
[07:35.280 --> 07:42.680]  at least for me there are around 40 megabytes, and the typical system partition, the slash
[07:42.680 --> 07:51.200]  boot thing is like half a gigabyte, so I've seen NixOS systems with many generations,
[07:51.200 --> 08:01.760]  I point at you, and running out of space in your boot partitions is very uncomfortable,
[08:01.760 --> 08:08.640]  so that's why we wrote the Lancelot boot stub, it's basically, it does the same as
[08:08.640 --> 08:16.440]  the system d stub, just that you don't have to embed the file, the content of kernel and
[08:16.440 --> 08:23.680]  init-rd anymore, you just embed a path to the file and the cryptographic hash to it,
[08:23.680 --> 08:30.080]  so basically just point somewhere and say what you expect to be at that location.
[08:30.080 --> 08:34.960]  So then on the boot partition you also have these files and then you're good, so the stub
[08:34.960 --> 08:42.720]  will get the file name, load the file, check the hash and if everything works out, it gets
[08:42.720 --> 08:49.480]  booted, and since the hashes are assigned, this is as secure as before.
[08:49.480 --> 08:54.560]  And now the nice thing is that this stub is now only like 100 kilobytes in size and you
[08:54.560 --> 09:00.240]  can have another one that has a different command line, but may use the same kernel and same
[09:00.240 --> 09:05.480]  init-rd and you just, for this new generation, you just get another 100 kilobytes instead
[09:05.480 --> 09:15.440]  of 40 megabytes and now Ryan can have his 600 generations again in his boot folder.
[09:15.440 --> 09:22.520]  So obviously maintaining our own stub is not something that we enjoy too much, so there
[09:22.520 --> 09:30.000]  are discussions ongoing in the system debug tracker to upstream this functionality that
[09:30.000 --> 09:35.560]  you can just reference files on the boot partition instead of embedding them in the system d-stub
