[00:00.000 --> 00:07.600]  Welcome back.
[00:07.600 --> 00:11.320]  If you thought it was quiet before, it's not anymore.
[00:11.320 --> 00:15.960]  I will now remember to remove my mask so that anyone who may be following along on the livestream
[00:15.960 --> 00:18.680]  and lip reading will be able to hear my comments.
[00:18.680 --> 00:24.440]  We're going to go ahead and slide back into our sessions for the day, and I am very pleased
[00:24.440 --> 00:31.400]  to introduce Alex to talk to us about nurturing, motivating, and recognizing non-code contributions
[00:31.400 --> 00:36.280]  a subject near and dear to my heart as an open-source community member who is not a developer.
[00:36.280 --> 00:40.960]  So if we could get a round of applause to welcome Alex, that would be great.
[00:40.960 --> 00:47.640]  Hey, nice to see you all.
[00:47.640 --> 00:50.120]  So let's start.
[00:50.120 --> 00:56.880]  My name is Alex Abramova, and I work in Precona for two years in the Precona community team,
[00:56.880 --> 01:03.600]  and I'm really inspired by the idea that open-source can be open to everyone with diversity of
[01:03.600 --> 01:09.520]  experience and not necessarily a technical one.
[01:09.520 --> 01:12.680]  First couple of words about the company.
[01:12.680 --> 01:19.920]  Precona provides best-of-breed support, consulting, managed services, training, and free and open-source
[01:19.920 --> 01:25.840]  software for MySQL, MariaDB, MongoDB, Postgres.
[01:25.840 --> 01:30.360]  So we make applications in databases run better.
[01:30.360 --> 01:32.880]  Please check our website for more information.
[01:32.880 --> 01:39.160]  I'm sure you can find everything for you and for your applications.
[01:40.040 --> 01:50.280]  Also, Precona is a remote first country with a company with 350 employees now in almost 40 countries.
[01:50.280 --> 01:52.800]  I think it's great.
[01:52.800 --> 01:59.040]  Precona gathered a great experience in working with open-source contributions,
[01:59.040 --> 02:04.320]  and today we will talk specifically about non-code contributions.
[02:04.360 --> 02:09.040]  In particular, we will look into different types of non-code contributions,
[02:09.040 --> 02:14.480]  and we will discuss how we can provide value to your project and team,
[02:14.480 --> 02:22.840]  and how to engage and empower contributors.
[02:22.840 --> 02:32.240]  When we talk about open-source contributions, nowadays we still often associate them with coding,
[02:32.240 --> 02:42.040]  with tech geeks who contribute code and understand all those strange words like fork,
[02:42.040 --> 02:44.920]  pull request, and etc.
[02:44.920 --> 02:50.160]  But the open-source world is very extensive and diverse,
[02:50.160 --> 02:54.920]  and I believe that everyone can find their place there.
[02:54.920 --> 02:58.920]  Even if someone doesn't feel confident with coding,
[02:58.920 --> 03:04.240]  there are still lots of things to keep them busy.
