[00:00.000 --> 00:27.000]  Okay, that starts. So our next talk is about the SFD-1 ecosystem done by someone who knows
[00:27.000 --> 00:37.000]  that very well. Please welcome Gérôme. Hello, a bit sooner Jean-Baptiste said that we don't
[00:37.000 --> 00:45.720]  speak enough about FFMPEG, so we'll speak about FFMPEG a bit more, but not about a very fancy codex.
[00:45.720 --> 00:58.720]  The word is about the lossy compression, H265, VVC, or AV1, but we will speak about something a bit more boring.
[00:58.720 --> 01:09.720]  It is the lossless compression. Because some people need to do some broadcasting and just broadcast and forget
[01:09.720 --> 01:18.720]  the content, people can watch and have a lot of compression artefact. If it is visually lossless,
[01:18.720 --> 01:28.720]  or if visually it is not so high level of artefact, it is fine. But for some other people, having a lossless
[01:28.720 --> 01:36.720]  video coding format is very important. And also something open, so no patent and so on.
[01:36.720 --> 01:44.720]  So FFV1 fits a lot of things about that. It is a very old technology, more than 30 years old technology,
[01:44.720 --> 01:52.720]  so no patent for sure. There is also a good reference encoder and decoder. It is FFMPEG. Thank you FFMPEG.
[01:52.720 --> 02:00.720]  It is widespread, so a lot of people can use it. We can embed FFV1 in a lot of different containers.
[02:00.720 --> 02:11.720]  The most used are AVI for all people, MP4, Matroska, MXF also. And FFV1 has a good balance between compression
[02:11.720 --> 02:20.720]  and speed, and also a bit about cost. So because there are some competitions, some open formats,
[02:20.720 --> 02:27.720]  also in FFMPEG, they can have a good compression, but they are very slow, or the compression is not so good.
[02:27.720 --> 02:36.720]  And outside of FFMPEG, we have GPEG 1000, 2000 for example, but encoders are pretty expensive sometimes and so on.
[02:36.720 --> 02:45.720]  But FFV1 is natively in FFMPEG. The compression is good. The speed for a lossless format is not so bad.
[02:45.720 --> 02:56.720]  So we use it a lot in some configurations, especially because with an open format and an open source implementation,
[02:56.720 --> 03:06.720]  it is easy to expand depending on the need we have. So with FFMPEG, we have only black and white or YUV or HGB,
[03:06.720 --> 03:13.720]  and we can also add an alpha channel. We can expand it up to 16 bits per component.
[03:13.720 --> 03:22.720]  So from 8 to 16, and also if we need 12 or 10, we can adapt a lot of FFV1 formats
[03:22.720 --> 03:29.720]  for being able to support every input we need. With the latest development, a few years ago,
[03:29.720 --> 03:38.720]  we have also a good multi-feed system in FFV1. We have checksum, so we are sure that when we store the content,
[03:38.720 --> 03:43.720]  we can detect if there is a problem during the storage.
[03:43.720 --> 03:52.720]  A lot of work was done by Michael Niedermeyer a few years ago, so he is the main developer of FFV1.
[03:52.720 --> 03:57.720]  So thank you to him about that. It helped a lot.
[03:57.720 --> 04:08.720]  So we are aware that a lossless compression is a very niche market because not so many people need it
[04:08.720 --> 04:19.720]  compared to the broadcasting of a lossless compression like H264 or AV1 and so on.
[04:19.720 --> 04:27.720]  And these people who need that are not rich, but it is pretty important for them to have a lossless compression.
[04:27.720 --> 04:34.720]  And also, actually, it is also for us important because a lot of users who need lossless compression
