[00:00.000 --> 00:13.000]  You're good to start.
[00:13.000 --> 00:18.000]  Okay, so hi everyone.
[00:18.000 --> 00:26.000]  My name is Mohamed and together with Mikoia we work both at Canonica and today we will be talking about
[00:26.000 --> 00:31.000]  on the road to managing databases, which is a canonical effort to make open source operator
[00:31.000 --> 00:41.000]  as we will see for a large, let's say, you know, landscape of open source databases that we will check later on.
[00:41.000 --> 00:51.000]  So in the presentation we'll start by explaining what we are aiming for, basically the vision of our, let's say, open source operator.
[00:51.000 --> 00:59.000]  We will go into a bit more detail with Mikoia about the database that we did choose and of course we will focus on MySQL for the story.
[00:59.000 --> 01:11.000]  We will explain where we stand right now, we will see a demo and then we will finish about, by speaking about the roadmap for in particular SQL databases.
[01:11.000 --> 01:14.000]  So what we are aiming for at Canonica now.
[01:14.000 --> 01:19.000]  So we have, let's say, our building block for operators.
[01:19.000 --> 01:28.000]  So Juju is our operator, by more, is the technology that allows us to build quite easily operator for pretty much anything.
[01:28.000 --> 01:33.000]  In this case, we are using it to build operators for databases.
[01:33.000 --> 01:40.000]  And what Juju allows us actually is to kind of abstract the, what we call the backing clouds, yeah.
[01:40.000 --> 01:47.000]  Meaning that it can work with pretty much, I mean, if there is a list that you can find,
[01:47.000 --> 01:54.000]  hopefully later on when we will share this slide in, let's say, an internet where we list the exact list of backing clouds
[01:54.000 --> 02:00.000]  and all of the ones that I mentioned here are supported and including orchestrators on top of backing clouds.
[02:00.000 --> 02:08.000]  So to build is one of the LSD which can allow you, for example, to emulate highly available setup in a single machine or even across machine.
[02:08.000 --> 02:14.000]  It's something that you can use as well as your backing cloud or infrastructure provided if you wish.
[02:14.000 --> 02:23.000]  And on top of that, we are building open source operator for a list of databases, so MySQL for sure.
[02:23.000 --> 02:29.000]  But Postgres, good to be, the 20 version, open source and more to come.
[02:29.000 --> 02:38.000]  And the idea is that we would like to automate a number of services or, let's say, you know, operation around databases,
[02:38.000 --> 02:44.000]  including employing a highly represented, as you will see later, scaling out and in, and ignoring node,
[02:44.000 --> 02:52.000]  scaling up and down, adding resources or removing resources, and of course doing backups and restores and upgrades.
[02:52.000 --> 03:01.000]  So this is basically our build-up, and Nicolas, I think, he will talk about the database.
[03:01.000 --> 03:22.000]  So unfortunately, Amazon has haven't killed all the bases, especially on premise, so we will try.
[03:22.000 --> 03:37.000]  Yeah, basically what we are building on which text tag we are building our solution for MySQL is for sure not MariaDB,
[03:37.000 --> 03:40.000]  or what reason we will use MariaDB.
[03:41.000 --> 03:48.000]  We are using MySQL, and we are using in a database cluster.
[03:48.000 --> 03:57.000]  Of course it is group replication, virtually synchronous replication of sort of synchronous replication.
[03:58.000 --> 04:10.000]  We are using MySQL Shell, because a lot of kind of knowledge of Oracle experts have been created,
[04:10.000 --> 04:19.000]  and it creates a lot of painful things for us, but we are suffering and continue using MySQL Shell.
[04:20.000 --> 04:30.000]  We are using MySQL Router, Percona Extra Backup, and for metrics node Percona Monitoring Tools, sorry,
[04:30.000 --> 04:33.000]  on the MySQL Extra.
[04:33.000 --> 04:40.000]  Yeah, so group replication, why group replication?
[04:40.000 --> 04:44.000]  Because that's simple, we don't want to lose data.
