[00:00.000 --> 00:28.000]  Good morning, everyone.
[00:28.000 --> 00:33.000]  My name is Hervé and I'm French.
[00:33.000 --> 00:35.000]  Sorry, my English is not very perfect.
[00:35.000 --> 00:37.000]  It's not my mother tongue.
[00:37.000 --> 00:43.000]  I work for an NGO called Open Factor, which is a French NGO.
[00:43.000 --> 00:46.000]  I'm going to talk about it right now.
[00:46.000 --> 00:49.000]  It's a self-funded NGO based in France.
[00:49.000 --> 00:53.000]  We created it in 2019.
[00:53.000 --> 01:00.000]  Our initial goal was to try to federate the Francophone Ozynt open source intelligence scene.
[01:00.000 --> 01:08.000]  As we noticed that the Anglophone one was pretty active and brilliant with Bellingcat, for example, people like that.
[01:08.000 --> 01:18.000]  So we decided to create this NGO and we wanted to assist the newsrooms and activists on Ozynt even investigation.
[01:18.000 --> 01:28.000]  We also wanted to train journalists about what we knew about and also wanted to promote young journalists based in France
[01:28.000 --> 01:40.000]  in order to help them to get some skills on Ozynt, which is a kind of a pragmatic way to find a job in France right now.
[01:40.000 --> 01:48.000]  As we are an NGO, a self-funded NGO, we also wanted to set up some philanthropic projects.
[01:48.000 --> 01:56.000]  We trained investigative journalists from Syria, which are relocated in Europe.
[01:56.000 --> 02:00.000]  We also did some programs in West Africa, the Francophone area.
[02:00.000 --> 02:06.000]  The NGO today is about 260 members and it's still counting.
[02:06.000 --> 02:15.000]  About me, some of the work first, we participated in some of pretty cool investigations,
[02:15.000 --> 02:18.000]  such as Greenblood for a media called Forbidden Stories.
[02:18.000 --> 02:26.000]  We also published some things and worked on things for BBC, for the French television on the Wagner group, for example.
[02:26.000 --> 02:35.000]  We also won a prize with Swiss TV for a documentary on war crimes in Syria, in Ukraine.
[02:35.000 --> 02:40.000]  Recently, we published two recommendable reports on Infos.
[02:40.000 --> 02:42.000]  I don't know if you've ever heard about that.
[02:42.000 --> 02:48.000]  It's a Russian company backed by the Russian intelligence.
[02:48.000 --> 02:55.000]  We also worked on that and tried to dismantle their network of disinformation inside their border.
[02:55.000 --> 03:00.000]  About me, I'm not a coder, obviously, as you probably see.
[03:00.000 --> 03:07.000]  I'm the co-founder of the NGO. I'm a former judicial investigator.
[03:07.000 --> 03:10.000]  I'm an open source software enthusiast.
[03:10.000 --> 03:18.000]  I used to compile Linux kernel since 1999 or something like that.
[03:18.000 --> 03:22.000]  I'm an open source software enthusiast and evangelist.
[03:22.000 --> 03:25.000]  I'm a techie, but not a coder.
[03:25.000 --> 03:29.000]  I consider myself rather like a Swiss army knife.
[03:29.000 --> 03:35.000]  I'm very lazy and believe me, if you want to solve a problem, hire a lazy guy or a lazy woman.
[03:35.000 --> 03:37.000]  I'm very curious.
[03:37.000 --> 03:39.000]  What about disinformation?
[03:39.000 --> 03:41.000]  This topic is about disinformation.
[03:41.000 --> 03:51.000]  Disinformation is, as you probably know, false information that is deliberately spread by an actor in order to deceive people.
[03:51.000 --> 03:55.000]  There is a fantastic researcher called Ben Nemo.
[03:55.000 --> 04:03.000]  He tried to resume this concept using the 4D's acronym.
[04:03.000 --> 04:06.000]  The first one is dismiss.
[04:06.000 --> 04:08.000]  The other one is distract.
[04:08.000 --> 04:10.000]  Distract the people, of course.
[04:10.000 --> 04:13.000]  Distort the truth and also dismay.
[04:13.000 --> 04:17.000]  So that's a very good way to define disinformation.
[04:17.000 --> 04:28.000]  It's an art for several actors. You can compare CTI and disinformation.
[04:28.000 --> 04:32.000]  There are some overlaps between these actors.
[04:32.000 --> 04:34.000]  There is a very great investigation.
[04:34.000 --> 04:36.000]  All the links are in the presentation.
[04:36.000 --> 04:43.000]  There is a really cool investigation called Doppelganger by the EU Disinformation Lab.
[04:43.000 --> 04:52.000]  I strongly recommend this report about media clones serving the Russian propaganda.
[04:52.000 --> 04:56.000]  I'm going to switch from time to time in the presentation.
[04:56.000 --> 05:01.000]  Disinformation is about war but also health, politics, economy.
[05:01.000 --> 05:05.000]  It covers mostly every topic, actually.
[05:05.000 --> 05:15.000]  Of course, internet and the web are probably the greatest echo chamber that they use.
[05:15.000 --> 05:19.000]  In France, we have such a problem.
[05:19.000 --> 05:22.000]  We have a problem with QAnon.
[05:22.000 --> 05:25.000]  There is a website called Cactus in France.
[05:25.000 --> 05:27.000]  It's called Cactus.
[05:27.000 --> 05:35.000]  It's for news and Cactus, the tree.
[05:35.000 --> 05:40.000]  QAnon is an American political conspiracy theory and political movement.
[05:40.000 --> 05:43.000]  I'm pretty sure you heard about it.
[05:43.000 --> 05:46.000]  It's mostly far-right based.
[05:46.000 --> 05:50.000]  It appeared on the net in 2017.
[05:50.000 --> 05:55.000]  This French website is, of course, Conspiracist.
[05:55.000 --> 06:01.000]  It's all about anti-vax and it's also very anti-semitic.
[06:01.000 --> 06:03.000]  It's a problem.
[06:03.000 --> 06:11.000]  It's present on several platforms such as, of course, the web, but also Telegram, Twitter, Gabber, etc.
[06:11.000 --> 06:13.000]  All the network.
[06:13.000 --> 06:16.000]  It has some kind of translated content.
[06:16.000 --> 06:19.000]  As soon as you arrive on a web page, it depends on the language,
[06:19.000 --> 06:23.000]  but you can get the news automatically in French or in English.
[06:23.000 --> 06:26.000]  This is via Tor, the Tor browser.
[06:26.000 --> 06:31.000]  It's basically in English, but you can also save it in French, for example.
[06:31.000 --> 06:34.000]  Most of the readers are French or Francophone.
[06:34.000 --> 06:38.000]  It publishes five or seven articles a day, mostly crap.
[06:38.000 --> 06:42.000]  It's always crap.
[06:42.000 --> 06:48.000]  It has more than two million visitors per month, so it's not nothing.
[06:48.000 --> 06:50.000]  It's a lot of people.
[06:50.000 --> 06:55.000]  I have a personal blog and I have an open-factor blog and we don't have two million visitors a month.
[06:55.000 --> 06:57.000]  I can assure you.
[06:57.000 --> 07:02.000]  Since it was open, it re-vendicates more than 80 million visitors.
[07:02.000 --> 07:04.000]  It's kind of big things.
[07:04.000 --> 07:08.000]  It's one of the most productive Q&A websites.
[07:08.000 --> 07:12.000]  In order to make the investigation, we needed a methodology on this information.
[07:12.000 --> 07:17.000]  There is a very good framework called the ABCDE, very easy to remember.
[07:17.000 --> 07:23.000]  It's a good start. A stands for actor, so who is doing the disinformation campaign?
[07:23.000 --> 07:25.000]  The behavior, how?
[07:25.000 --> 07:28.000]  The content, what about the content, of course?
[07:28.000 --> 07:32.000]  The degree, it means the scale of the disinformation campaign.
[07:32.000 --> 07:34.000]  And the last one, he.
[07:34.000 --> 07:43.000]  He was added later, but he means the effect that is looking by the actor.
[07:43.000 --> 07:50.000]  So if we based our research at open-factor for cactus, we would say something like,
[07:50.000 --> 07:53.000]  what is cactus? What's its audience?
[07:53.000 --> 07:58.000]  Its environment, ecosystem, its influence, its motivation, above all.
[07:58.000 --> 08:03.000]  And last but not least, if we can identify who is behind the cactus,
[08:03.000 --> 08:06.000]  it's really cool for us as journalists.
[08:06.000 --> 08:13.000]  So we decided to approach this by trying to qualify the environment.
[08:13.000 --> 08:20.000]  And in order to do that, we used three different tools that I mentioned as a sweet combo.
[08:20.000 --> 08:25.000]  The first one is HIFE, and it's a tool that was made.
[08:25.000 --> 08:28.000]  Most of these tools were made by the Media Lab Sciences Po,
[08:28.000 --> 08:31.000]  and HIFE is one of the greatest ones.
[08:31.000 --> 08:38.000]  It's a tool that you can download on your computer, and it mostly scrapes the web,
[08:38.000 --> 08:44.000]  starting from a URL, and you can build a web corpus of all the websites
[08:44.000 --> 08:47.000]  that are connected to this website by the links inside the article.
[08:47.000 --> 08:52.000]  So it was very cool to use with cactus,
[08:52.000 --> 08:58.000]  because the most important activity of cactus is writing articles, as I mentioned,
[08:58.000 --> 09:02.000]  but inside they put links to other articles, sometimes legit,
[09:02.000 --> 09:06.000]  sometimes links that lead you to other conspiracies websites.
[09:06.000 --> 09:12.000]  So kind of a long process, because right now, at the moment of the investigation,
[09:12.000 --> 09:18.000]  cactus had about 8,000 something articles on the website.
[09:18.000 --> 09:21.000]  So it took me a long time to scrape everything,
[09:21.000 --> 09:27.000]  and I had to go to the level two in order to scrape the link from the website
[09:27.000 --> 09:32.000]  that were cited by Kyaktu, if I'm clear about it.
[09:32.000 --> 09:35.000]  So I had to go at a level of two.
[09:35.000 --> 09:38.000]  It works pretty well with a caveat.
[09:38.000 --> 09:44.000]  There are some limitations with HIFE, especially one that really bothers us.
[09:44.000 --> 09:47.000]  It's Cloudflare, sorry for the typo,
[09:47.000 --> 09:50.000]  because as soon as you arrive on a Cloudflare website,
[09:50.000 --> 09:54.000]  and a lot of websites are protected by Cloudflare, you cannot scrape it.
[09:54.000 --> 10:00.000]  You cannot scrape them with HIFE, but it works pretty well.
[10:00.000 --> 10:02.000]  Actually, not on my computer.
[10:02.000 --> 10:06.000]  I tried at the hotel yesterday night, and it doesn't work, but believe me, it works.
[10:06.000 --> 10:09.000]  So I scrapped the links.
[10:09.000 --> 10:11.000]  I'm going to show you the result after that.
[10:11.000 --> 10:15.000]  The first tool that I combined with HIFE was, of course, Jeffy.
[10:15.000 --> 10:20.000]  I've been an enthusiast of Jeffy since probably 2011 or something like that,
[10:20.000 --> 10:24.000]  and it's a very interesting tool to explore and analyze graphs,
[10:24.000 --> 10:30.000]  and especially if you try to use the modularity algorithm to determine subcommunities,
[10:30.000 --> 10:34.000]  and it's a brilliant tool that I'm sure you already know about.
[10:34.000 --> 10:37.000]  And the last one was important for us as journalists.
[10:37.000 --> 10:44.000]  We tried to illustrate our articles with images and graphs, et cetera,
[10:44.000 --> 10:46.000]  and it's very difficult to render graphs on websites,
[10:46.000 --> 10:51.000]  so this tool is brand new, and one of its authors is in this room, actually,
[10:51.000 --> 10:54.000]  and I'm super happy to know that.
[10:54.000 --> 11:05.000]  And it's Retina, and Retina offers you the opportunity to import a graph inside your website
[11:05.000 --> 11:07.000]  and to dive into it and to analyze it,
[11:07.000 --> 11:12.000]  or at least to help the people try to understand it, and that's really cool.
[11:12.000 --> 11:18.000]  So that's what we got, and I'm going to show you the rendering of the article.
[11:18.000 --> 11:22.000]  So this is HIFE, and based on these three tools,
[11:22.000 --> 11:26.000]  what I tried to do is to illustrate the environment of the website.
[11:26.000 --> 11:29.000]  So the first one at the top level is Cactus,
