[00:00.000 --> 00:07.680]  Okay, so, hello everybody.
[00:07.680 --> 00:09.520]  I am a frying flasherner.
[00:09.520 --> 00:16.040]  I work on porting risk five to GNU Geeks or GNU Geeks to risk five, depending on which
[00:16.040 --> 00:18.400]  way you look at things.
[00:18.400 --> 00:24.440]  I've been involved with Geeks as a packager and involved with Geeks in general since about
[00:24.440 --> 00:25.440]  2015.
[00:26.440 --> 00:33.080]  Yes, over the years I've just ended up touching everything in the code base just by accident
[00:33.080 --> 00:35.000]  to just end up happening.
[00:35.000 --> 00:45.400]  I also worked, I guess the first big project was porting Geeks to AR64, which was similar
[00:45.400 --> 00:50.600]  but different with a lot of pieces.
[00:50.600 --> 00:56.240]  So this slide I meant to fill in a bit, but not very good with drawing on the computer.
[00:56.240 --> 00:59.720]  So some quick stuff about Geeks.
[00:59.720 --> 01:04.200]  It is a, at the heart of it, it's a transactional package manager.
[01:04.200 --> 01:09.400]  So that means that anything that you do, you can undo and roll back.
[01:09.400 --> 01:15.400]  And so that gives you the chance to, I guess in terms of porting things, you get to build
[01:15.400 --> 01:19.400]  things and see how they break and then build it again and see how else it breaks.
[01:19.400 --> 01:23.080]  And in the end, when it works, you don't have to worry about all the broken stuff polluting
[01:23.080 --> 01:24.840]  your environment.
[01:24.840 --> 01:28.360]  So using just the pieces that work every single time and just the pieces you're actually
[01:28.360 --> 01:33.120]  putting in every single time.
[01:33.120 --> 01:39.160]  Everything is built in a container, again, back to the, everything is self-enclosed when
[01:39.160 --> 01:41.680]  you're building it.
[01:41.680 --> 01:44.600]  And everything is built natively.
[01:44.600 --> 01:50.800]  We do, I mean, there is support for cross-building just about everything, but when we're actually
[01:50.800 --> 01:55.640]  installing programs, everything is actually built on native hardware.
[01:55.640 --> 01:59.440]  This picture is a little small and actually a little old.
[01:59.440 --> 02:02.640]  Let me slide this down a little bit.
[02:02.640 --> 02:09.560]  This one is from the actual bootstrap of, I don't know, it's little dated, it's changed
[02:09.560 --> 02:10.560]  a little bit.
[02:11.000 --> 02:21.480]  You start from an actual couple's statically compiled binaries and in this case, it's actually
[02:21.480 --> 02:27.600]  down, we download, yeah, we actually download in this picture the GCC 4.7 source code and
[02:27.600 --> 02:30.960]  compile it to the GCC bootstrap.
[02:30.960 --> 02:41.360]  So it's, so everything is a, so DAG is a directed acyclic graph.
[02:41.360 --> 02:47.160]  Everything, you can follow the inputs from one package to the next and see exactly how
[02:47.160 --> 02:49.280]  everything is built.
[02:49.280 --> 02:57.680]  So going back to the first talk, which I suggest everyone watches if I really enjoyed it.
[02:57.680 --> 03:05.560]  Our self-hosting comes from a couple of cross-compiled static binaries from another architecture
[03:05.560 --> 03:13.960]  running Geeks, which then we use to bootstrap everything up from the start on direction.
[03:13.960 --> 03:20.960]  So the same G-Lib C bootstrap here and GCC bootstrap here, then for whatever reason,
[03:20.960 --> 03:25.120]  we've actually flipped the graph around going the other way and now we're going from bottom
[03:25.120 --> 03:26.120]  to top.
[03:26.120 --> 03:30.880]  So G-Lib C bootstrap at the bottom and aiming up.
[03:30.880 --> 03:40.480]  So go and actually bootstrap everything, the, I actually haven't used Gen 2, but from what
[03:40.480 --> 03:47.480]  I understand the stage one and stage two starts, you start from just about nothing and it just
[03:47.480 --> 03:54.600]  builds itself also the way Linux from scratch does until you actually reach a fully functional
[03:54.600 --> 04:02.200]  and optimal as much as you want the optimizing fully functional and optimized or built with
[04:02.200 --> 04:11.720]  dash O2 binaries that you actually use to build everything else in the system.
[04:11.720 --> 04:19.160]  So just coming at it from the distribution side, risk five, okay, so what's it similar
[04:19.160 --> 04:21.480]  to?
[04:21.480 --> 04:27.680]  What sorts of problems did I run into with the actual porting?
[04:27.680 --> 04:40.840]  Yes, let's see, so the AR64 port, the boards at least initially were a little easier to
[04:40.840 --> 04:41.840]  get.
[04:41.840 --> 04:47.320]  ARM already had partners building boards and could get somewhat expensive ARM V8 boards
[04:47.320 --> 04:49.160]  in different places.
[04:49.160 --> 04:54.960]  Risk five boards that I've picked up actually mostly been through Kickstarter and one way
