[00:00.000 --> 00:09.000]  So, next up, Nicole.
[00:09.000 --> 00:12.000]  So, yeah.
[00:12.000 --> 00:14.000]  Okay.
[00:14.000 --> 00:16.000]  Hi, everyone.
[00:16.000 --> 00:18.000]  Hi, everyone at home.
[00:18.000 --> 00:24.000]  So, yeah, I'm talking today about how to maybe use SPDX to
[00:24.000 --> 00:27.000]  establish traceability for functional safety.
[00:27.000 --> 00:32.000]  So, about me, yeah, I've been a software developer for quite some time,
[00:32.000 --> 00:37.000]  always working in, yeah, some kind of safety-critical project,
[00:37.000 --> 00:40.000]  and that somehow brought me about 12 years ago to, yeah,
[00:40.000 --> 00:45.000]  really focusing on functional safety.
[00:45.000 --> 00:50.000]  And so, currently, I'm working as a tech consultant still, yeah,
[00:50.000 --> 00:52.000]  mainly in functional safety, a little bit security,
[00:52.000 --> 00:54.000]  a little bit license compliance.
[00:54.000 --> 00:58.000]  That gets critical for software components.
[00:58.000 --> 01:03.000]  I'm involved in some of the Linux Foundation projects.
[01:03.000 --> 01:06.000]  And, yeah, just important thing about me,
[01:06.000 --> 01:08.000]  I'm really not good with faces and names.
[01:08.000 --> 01:12.000]  So, if you walk past by me and I don't say hello,
[01:12.000 --> 01:15.000]  it's just because I'm not really sure if it's you.
[01:15.000 --> 01:19.000]  So, just say hello to me and, yeah, then I know it's you.
[01:19.000 --> 01:24.000]  And you can contact me, or usually with a handle at Nick Pappler
[01:24.000 --> 01:29.000]  at the usual social media or GitHub places if you want to find me.
[01:29.000 --> 01:35.000]  So, what can we do for functional safety with SPDX?
[01:35.000 --> 01:40.000]  So, I'm not sure who at all here is aware about functional safety
[01:40.000 --> 01:43.000]  or what it is.
[01:43.000 --> 01:45.000]  Oh, a few, that's cool.
[01:45.000 --> 01:47.000]  So, yeah.
[01:47.000 --> 01:49.000]  It's more than a thought.
[01:49.000 --> 01:51.000]  So, I'm happy.
[01:51.000 --> 01:56.000]  So, yeah, safety, generally, it's a freedom of risk
[01:56.000 --> 02:02.000]  or a minimization of risk of getting hurt, of doing something bad.
[02:02.000 --> 02:09.000]  And the functional safety part of that is that whatever can break
[02:09.000 --> 02:13.000]  or go wrong in your system is handled, is detected.
[02:13.000 --> 02:16.000]  So, you have mainly two options here.
[02:16.000 --> 02:19.000]  Avoid something bad to happen.
[02:19.000 --> 02:22.000]  Avoid the microcontroller to break.
[02:22.000 --> 02:27.000]  Avoid your software to do something you haven't intended it to do.
[02:27.000 --> 02:31.000]  Or, at least, to detect things going wrong
[02:31.000 --> 02:35.000]  and then define, initiate mitigation measures,
[02:35.000 --> 02:38.000]  define safe states, so what to do when things go wrong
[02:38.000 --> 02:43.000]  and implement this and hopefully have a safe system at the end.
[02:43.000 --> 02:46.000]  So, what do we need if we want to do this?
[02:46.000 --> 02:51.000]  So, as I already said, you need a system that's robust
[02:51.000 --> 02:55.000]  and suitable for your safety application
[02:55.000 --> 02:59.000]  so that it in itself has some features that it doesn't kill people,
[02:59.000 --> 03:02.000]  that it doesn't hurt people, that it doesn't hurt the environment
[03:02.000 --> 03:07.000]  and several levels of analyzers, of tests, of verification measures
[03:07.000 --> 03:12.000]  to prove that your system is your system as you have intended it to be.
[03:12.000 --> 03:16.000]  And to do so, to really make sure what you have specified,
[03:16.000 --> 03:19.000]  you have implemented in the end, you should have a process,
[03:19.000 --> 03:21.000]  you should have guidelines, methods,
[03:21.000 --> 03:25.000]  and you should plan how to do this.
[03:25.000 --> 03:30.000]  And, unfortunately, this results in a lot of documents.
[03:30.000 --> 03:33.000]  You usually start with something called a safety plan,
[03:33.000 --> 03:35.000]  so it's kind of project management plan
[03:35.000 --> 03:39.000]  or any kind of plan strategy, how you want to do this.
[03:39.000 --> 03:41.000]  It's a plan, how you want to verify with this,
[03:41.000 --> 03:44.000]  you have your requirements, you have an architecture,
[03:44.000 --> 03:49.000]  go coding guidelines, you have loads of documents,
[03:49.000 --> 03:55.000]  50 to 100 documents in the end, so it's really, it's a pain.
[03:55.000 --> 03:59.000]  So, and I think most of us here are engineers
[04:00.000 --> 04:03.000]  and, yeah, engineers like to engineer.
[04:03.000 --> 04:07.000]  And so, we like to create it with a fantastic system,
[04:07.000 --> 04:10.000]  maintaining a fantastic system.
[04:10.000 --> 04:14.000]  Yeah, we do have to do, at least in the industry life,
[04:14.000 --> 04:18.000]  apply a process to do so, and then we have to ensure
[04:18.000 --> 04:20.000]  there is all documentation in place
[04:20.000 --> 04:22.000]  and all evidences are consistent.
[04:22.000 --> 04:25.000]  So, yeah, first two things we really like to do,
[04:25.000 --> 04:27.000]  we like to create things, we like to maintain things,
[04:27.000 --> 04:29.000]  we like to have them fantastic.
[04:29.000 --> 04:32.000]  Applying a process, yeah, if we have to,
[04:32.000 --> 04:37.000]  some like me like processes, but I think 99% don't.
[04:37.000 --> 04:41.000]  And, yeah, ensuring all documentation and evidences
[04:41.000 --> 04:44.000]  are consistent, that's, at least for most engineers,
[04:44.000 --> 04:47.000]  it's no, no, you don't like this, this is pain,
[04:47.000 --> 04:50.000]  this is, at least emotionally, that feels like
[04:50.000 --> 04:52.000]  it's something I have to do on top because I know
[04:52.000 --> 04:54.000]  what I did, I know what I want to do,
[04:54.000 --> 04:57.000]  why do I need to record this, it's clear.
