[00:00.000 --> 00:07.000]  Next up, review.
[00:07.000 --> 00:18.000]  Hello everybody, can everybody hear me okay in the back?
[00:18.000 --> 00:28.000]  Then I'll speak up like this, okay?
[00:28.000 --> 00:30.000]  Okay, perfect.
[00:30.000 --> 00:32.000]  So I'm going to give a talk about reuse.
[00:32.000 --> 00:33.000]  I'm Linus.
[00:33.000 --> 00:37.000]  I work for the Free Software Foundation Europe as a CIS admin
[00:37.000 --> 00:43.000]  and I'm also one of the maintainers of the reuse tool.
[00:43.000 --> 00:49.000]  And so this tool, so since this is the S-bomb deaf room,
[00:49.000 --> 00:52.000]  I need to relate what we do with reuse to S-bomb somehow.
[00:52.000 --> 00:55.000]  And I think the catchphrase or what I want you to take away
[00:55.000 --> 01:00.000]  from this presentation today is that if you want to have nice S-bomb
[01:00.000 --> 01:04.000]  downstream, you should push everybody to use reuse upstream
[01:04.000 --> 01:07.000]  because it makes everything else much, much easier.
[01:07.000 --> 01:11.000]  Or just how reuse makes everybody's life a bit easier.
[01:11.000 --> 01:15.000]  So typically with free and open source software,
[01:15.000 --> 01:20.000]  you have compliance issues when it comes to license and copyright.
[01:20.000 --> 01:25.000]  There's missing information about license and copyright holders
[01:25.000 --> 01:28.000]  of your own code and of third party code
[01:28.000 --> 01:30.000]  that you might use in your application.
[01:30.000 --> 01:34.000]  There's license ambiguity, so for example if there's just,
[01:34.000 --> 01:37.000]  it says GPL but you don't know which version.
[01:37.000 --> 01:41.000]  And often when there's somebody taking the time to put
[01:41.000 --> 01:44.000]  all the information there, it's stored in a silo
[01:44.000 --> 01:47.000]  and it's not actually where the code is.
[01:47.000 --> 01:52.000]  And often another thing is that when you change something
[01:52.000 --> 01:56.000]  in the code you should or you have a new contributor coming on,
[01:56.000 --> 01:58.000]  then you need to change everything again.
[01:58.000 --> 02:02.000]  Developers also need a lot of training if there's custom solutions
[02:02.000 --> 02:07.000]  and there might also be conflicting compliance practices.
[02:07.000 --> 02:13.000]  So we thought like why can't we solve these issues here
[02:13.000 --> 02:17.000]  up the stream so that when the water flows down
[02:17.000 --> 02:20.000]  to everybody else who's consuming license and copyright information
[02:20.000 --> 02:26.000]  of source code has just an easier time digesting them.
[02:26.000 --> 02:30.000]  So reuse is based on a couple of principles.
[02:30.000 --> 02:35.000]  It should be easy for copyright and licensing information.
[02:35.000 --> 02:37.000]  Everybody should be able to find this easily,
[02:37.000 --> 02:40.000]  so it should be in the file that it applies to
[02:40.000 --> 02:43.000]  if that's possible, like of course with a binary file
[02:43.000 --> 02:45.000]  that's not possible, but if it's plain text
[02:45.000 --> 02:48.000]  that's possible and then it should go in there.
[02:48.000 --> 02:52.000]  Silo's should be avoided and all the licensing copyright
[02:52.000 --> 02:55.000]  information should be stored in the repo.
[02:55.000 --> 02:59.000]  And that info should be readable by humans and machines alike.
[02:59.000 --> 03:03.000]  We also do not want to reinvent the wheel if we don't have to,
[03:03.000 --> 03:09.000]  so yeah, we try to be compatible, as compatible as possible.
[03:09.000 --> 03:14.000]  And also licensing should be easy and fun.
[03:14.000 --> 03:23.000]  And yeah, so we try to do that.
[03:23.000 --> 03:27.000]  You can decide whether we manage, but at least we try.
[03:27.000 --> 03:29.000]  So there's three simple steps to using reuse.
[03:29.000 --> 03:32.000]  First you choose and provide the license.
[03:32.000 --> 03:36.000]  Reuse does it with a nice little dialogue for you
[03:36.000 --> 03:40.000]  when you start it up the first time, I can show you later.
[03:40.000 --> 03:42.000]  Then you add copyright and licensing information,
[03:42.000 --> 03:45.000]  preferably to every file.
[03:45.000 --> 03:49.000]  And then we have a range of tooling that allows you
[03:49.000 --> 03:51.000]  to confirm this reuse compliance,
[03:51.000 --> 03:53.000]  either in a pre-commit hook, in CI,
[03:53.000 --> 03:57.000]  and of course locally on your machine.
[03:57.000 --> 04:00.000]  So I'll go through this quick.
[04:00.000 --> 04:01.000]  Maybe just a quick show of hands.
[04:01.000 --> 04:04.000]  Who has heard of reuse before?
[04:04.000 --> 04:06.000]  Okay, so I'm preaching to the choir.
[04:06.000 --> 04:08.000]  Who has used it before?
[04:08.000 --> 04:11.000]  There's plenty of people on it before.
[04:11.000 --> 04:17.000]  Okay, so I'll go through this rather quickly.
[04:17.000 --> 04:20.000]  One thing that we do is we save license text
[04:20.000 --> 04:23.000]  in a licenses directory.
[04:23.000 --> 04:27.000]  I'll make a quick shout out to GitHub later about this.
[04:27.000 --> 04:32.000]  Then reuse names after the SPDX license identifier,
[04:32.000 --> 04:36.000]  and then they're stored in the licenses repository.
[04:36.000 --> 04:41.000]  Then the copyright and license information is added to every file.
[04:41.000 --> 04:45.000]  Then it looks roughly like that.
[04:45.000 --> 04:49.000]  And then if you have uncommentable files,
[04:49.000 --> 04:55.000]  binary files, images, or executables or whatever,
[04:55.000 --> 04:57.000]  then you can do a separate license file,
[04:57.000 --> 04:59.000]  which is a plain text file,
[04:59.000 --> 05:01.000]  which refers back to that uncommentable file,
[05:01.000 --> 05:04.000]  which then contains this information.
[05:04.000 --> 05:11.000]  And also you can use a.deb5 file in.reuse directory.
[05:11.000 --> 05:13.000]  This is about to change soon, hopefully,
[05:13.000 --> 05:16.000]  because we are going to develop our own reuse YAML,
[05:16.000 --> 05:19.000]  which sits at the root of the repository,
[05:19.000 --> 05:23.000]  where you can define this type of information
[05:23.000 --> 05:26.000]  for uncommentable files or for whole directories,
[05:26.000 --> 05:29.000]  much easier than with.deb5.
[05:29.000 --> 05:32.000]  And then the third step is you confirm
[05:32.000 --> 05:36.000]  that you're actually compliant with reuse.
[05:36.000 --> 05:40.000]  What are the components of reuse?
[05:40.000 --> 05:46.000]  One thing is a spec where we pretty clearly try to state
[05:46.000 --> 05:49.000]  how licensing information and copyright information
[05:49.000 --> 05:51.000]  should be added to source code.
