[00:00.000 --> 00:21.680]  Thank you very much.
[00:21.680 --> 00:25.260]  Welcome to our talk on Standard Bomb.
[00:25.260 --> 00:30.920]  We are here to share with you some of our experiences that we've had introducing a common
[00:30.920 --> 00:35.000]  S-bomb format at a large company.
[00:35.000 --> 00:41.760]  And we also hope to get into a discussion with you about your experiences and maybe
[00:41.760 --> 00:47.800]  things that you noticed that we've missed or that we should or could do better.
[00:47.800 --> 00:53.200]  So all three of us, I must say, the thing is called Standard Bomb.
[00:53.200 --> 00:56.720]  It's just our name for Cyclone DX format.
[00:56.720 --> 00:58.160]  So we are not reinventing the wheel.
[00:58.160 --> 01:01.160]  It's not like we've invented a format or something.
[01:01.160 --> 01:03.720]  And we're also not selling anything.
[01:03.720 --> 01:08.040]  It's just sharing experience and talking to you.
[01:08.040 --> 01:13.000]  All three of us are from Siemens, so I feel I need to say a few words about the company.
[01:13.000 --> 01:17.160]  Siemens is a technology company, so you can buy small things like thermostat for your
[01:17.160 --> 01:23.640]  smart building or if you need a whole train or a power plant.
[01:23.640 --> 01:25.240]  So I mean a power plant is nice.
[01:25.240 --> 01:31.240]  And also things in between like medical devices, magnetic resonance, tomography systems, or
[01:31.240 --> 01:35.840]  if you're equipping your factory, then you can buy a factory equipment.
[01:35.840 --> 01:38.560]  So Siemens has also been around for some time.
[01:38.560 --> 01:45.240]  Just recently we've celebrated the 175th birthday of the company, so it's changed a couple
[01:45.240 --> 01:47.320]  of times over the years.
[01:47.320 --> 01:51.440]  And traditionally, of course, there has always been a focus on hardware.
[01:51.440 --> 01:57.520]  But in recent, well, decades, I could say, software has become increasingly important.
[01:57.520 --> 02:03.960]  So now of the 50k R&D employees, we have a sizable portion of software developers.
[02:03.960 --> 02:08.320]  I couldn't find out exactly what the portion is, but I'm quite certain it's in the five
[02:08.320 --> 02:11.440]  digits and growing, certainly.
[02:11.440 --> 02:17.800]  So and since there's no like in a company like that, there's no one technology stack,
[02:17.800 --> 02:22.080]  so we're basically using everything, I should say.
[02:22.080 --> 02:28.640]  And that growing importance of software, of course, leads us directly to software builds
[02:28.640 --> 02:29.640]  of material.
[02:29.640 --> 02:38.720]  You know, you're all aware of the legislation that's upcoming mostly in the form of executive
[02:38.720 --> 02:41.960]  order and CRA and so on.
[02:41.960 --> 02:45.840]  So S-bombs are getting more and more important.
[02:45.840 --> 02:50.800]  And I don't want to explain S-bombs, that's just, you know, you all know that stuff on
[02:50.800 --> 02:51.800]  the slide.
[02:51.800 --> 02:56.280]  I just want to stress one thing, and that's generating an S-bomb for a software product
[02:56.280 --> 02:58.720]  is not something that can be done manually.
[02:58.720 --> 03:01.800]  It must be the result of an automated process, okay?
[03:01.800 --> 03:08.280]  So there's just no way to reliably do that manually.
[03:08.280 --> 03:14.200]  And one of the things that we realized is that an S-bomb is always created with a particular
[03:14.200 --> 03:16.160]  use case in mind.
[03:16.160 --> 03:19.680]  Even if you're not thinking of a use case while you're doing it, then you're still
[03:19.680 --> 03:21.920]  implementing whatever's in your head at that point.
[03:21.920 --> 03:28.800]  So it's always, the concrete S-bomb document is always intended for a particular use case.
[03:28.800 --> 03:33.520]  Just to give some examples that we are dealing with, one would be license compliance.
[03:33.520 --> 03:36.880]  So we want to, you know, make sure that we follow all the obligations from open source
[03:36.880 --> 03:39.000]  software licenses.
[03:39.000 --> 03:43.400]  That's very important because OSS software is used extensively at Siemens.
[03:43.400 --> 03:45.600]  We use many components, and we also publish them.
[03:45.600 --> 03:50.720]  So if you go to github.com slash Siemens, then you will find some of them.
[03:50.720 --> 03:54.440]  And if anyone of you does that right now, then be sure to also click on the badges on top
[03:54.440 --> 03:55.440]  of the page.
[03:55.440 --> 03:59.160]  They link to other places on GitHub that have Siemens open source software.
[03:59.160 --> 04:02.240]  It's not all consolidated into one.
[04:02.240 --> 04:09.280]  Anyway, license compliance also requires us to have source code available, because that
[04:09.280 --> 04:10.280]  must be scanned.
[04:10.280 --> 04:14.920]  Individual source files might be licensed under a different license than the main project
[04:14.920 --> 04:16.720]  and so on.
[04:16.720 --> 04:19.800]  And that's a particular requirement of that use case.
[04:19.800 --> 04:24.600]  So the S-bomb will look different compared to, for instance, the security vulnerability
[04:24.600 --> 04:26.080]  monitoring use case.
[04:26.080 --> 04:27.440]  Also very common.
[04:27.440 --> 04:28.640]  Source code is not so important.
[04:28.640 --> 04:33.000]  It's important for finding the vulnerabilities, but not so much for monitoring them.
[04:33.000 --> 04:36.000]  But you need different metadata, such as CPE information.
[04:36.000 --> 04:41.120]  CPEs are used to look up the vulnerability in the corresponding databases, so that's
[04:41.120 --> 04:43.240]  critical.
[04:43.240 --> 04:48.640]  And also you might want to include build tools, test frameworks, and so on, since they might
[04:48.640 --> 04:52.880]  also be vulnerable.
[04:52.880 --> 04:55.280]  Both of those use cases are internal use cases.
[04:55.280 --> 05:01.080]  So we generate the S-bomb for us, use it with our systems and processes, but we don't share
[05:01.080 --> 05:02.840]  it outside of the company.
[05:02.840 --> 05:09.320]  In the third case, regulatory, that would be, again, another use case where we are required
[05:09.320 --> 05:14.200]  sometimes due to the new legislation to publish the S-bomb.
[05:14.200 --> 05:19.280]  And then, of course, we must be sure to include certain fields in that S-bomb about every
[05:19.280 --> 05:24.280]  component that are required by that regulation.
[05:24.280 --> 05:30.360]  And we will not normally put much more into the S-bomb than we are strictly required to
[05:30.360 --> 05:35.840]  do, because that's for regulatory purposes, and we don't want to open up an attack surface
[05:35.840 --> 05:42.320]  for just people who want to bitch about some information being wrong or something.
[05:42.320 --> 05:46.560]  So that's just the realistic thing that's going to happen.
[05:46.560 --> 05:51.320]  And you'll see later that this is relevant, those S-bombs being created for different
[05:51.320 --> 05:53.200]  use cases.
[05:53.200 --> 05:57.560]  Because when you're creating an S-bomb for your concrete product, you're actually solving
[05:57.560 --> 05:59.160]  something of a puzzle.
[05:59.160 --> 06:04.400]  So you have all kinds of pieces that must fit together to get the final S-bomb.
[06:04.400 --> 06:11.680]  Imagine you're shipping something simple like a front-end container with an Angular application
[06:11.680 --> 06:12.680]  in it.
[06:12.680 --> 06:16.600]  So maybe you have an NPM to ask for dependencies.
[06:16.600 --> 06:21.000]  That's the easy part, because it's under your control.
[06:21.000 --> 06:27.400]  But then you also have, let's say, an nginx in the container, which has an S-bomb or
[06:27.400 --> 06:29.440]  consists of some components.
[06:29.440 --> 06:34.240]  And it's in, let's say, a Debian Linux.
[06:34.240 --> 06:41.560]  And that has, I don't know, 100 or so open source components as well.
[06:41.560 --> 06:46.280]  And well, sometimes you're lucky, and you work with partners or a different, in a company
[06:46.280 --> 06:50.080]  like Siemens, you have all kinds of different business units that produce components and
[06:50.080 --> 06:51.640]  give you S-bombs.
[06:51.640 --> 06:56.240]  Those S-bombs might have all the data that you need, or they might not.
[06:56.240 --> 07:02.120]  Imagine that people only gave you the S-bomb because they're required to by the regulators,
[07:02.120 --> 07:04.440]  the third use case.
[07:04.440 --> 07:06.880]  Then it would probably not be enough.
[07:06.880 --> 07:12.640]  For instance, license information is something that's not even required by the NTIA for a
[07:12.640 --> 07:13.640]  public S-bomb.
[07:13.640 --> 07:15.640]  They just want to know what component is it.
[07:15.640 --> 07:18.440]  They don't want to know much metadata.
[07:18.440 --> 07:21.720]  So that's something you need to have to enrich then.
[07:21.720 --> 07:28.760]  You will probably need to have backend systems to enrich your S-bombs and arrive at the final
[07:28.760 --> 07:31.760]  S-bomb while you're solving this puzzle.
[07:31.760 --> 07:37.280]  So now I've talked a lot about the S-bombs in general, and let's look at some more detail
[07:37.280 --> 07:38.760]  with Alex.
[07:38.760 --> 07:41.160]  Yeah, thank you.
[07:41.160 --> 07:46.080]  So as we already mentioned, one goal that we have is to take you through the process
[07:46.080 --> 07:51.200]  of how we adopted a common S-bomb format within the company and what some of the challenges
[07:51.200 --> 07:55.320]  and major pain points were that we detected as part of that.
[07:55.320 --> 08:00.040]  So of course, at first, you look at the requirements that you actually have, and usually to do that,
[08:00.040 --> 08:02.400]  you look at the process and the people involved.
[08:02.400 --> 08:05.600]  That's a good idea, even when you're trying to solve a technical problem.
[08:05.600 --> 08:09.720]  So what we considered initially early on, I mean, you've seen our product portfolio.
[08:09.720 --> 08:14.880]  We do everything from hardware to software as a service, so every team at Siemens is
[08:14.880 --> 08:19.000]  different, which for us immediately meant that there is probably no silver bullet that
[08:19.000 --> 08:20.480]  works for all of them.
[08:20.480 --> 08:25.280]  So there wasn't going to be a single automation approach that we could push onto people.
[08:25.280 --> 08:28.040]  Instead, we needed to provide an ecosystem.
[08:28.040 --> 08:30.240]  So that was realization number two, right?
[08:30.240 --> 08:35.120]  So we need a common set of tools, but not everybody is going to use every tool.
[08:35.120 --> 08:42.080]  But the goal here was to simplify the actual S-bomb generation and allow people to feed
[08:42.080 --> 08:47.040]  that data because that's the background that we come from into our OSS compliance and commercial
[08:47.040 --> 08:51.720]  license compliance tooling, and to enable developers to actually use that as part of
[08:51.720 --> 08:53.240]  their builds.
[08:53.240 --> 08:57.480]  And from the get-go, we were pretty clear on that either becoming in a source within
[08:57.480 --> 09:00.080]  the company or potentially also open source.
[09:00.080 --> 09:02.480]  We will comment on that a bit later.
[09:02.480 --> 09:06.320]  And then of course, you can't always optimize for the edge case.
[09:06.320 --> 09:10.880]  So there will be teams within Siemens that use tools that nobody else apart from them
[09:10.880 --> 09:11.960]  uses.
[09:11.960 --> 09:18.880]  But even then, we wanted to enable them to also use the format by at least having a set
[09:18.880 --> 09:20.880]  of libraries that they could include.
[09:20.880 --> 09:25.320]  So currently, we offer these for Java, Python, and.NET.
[09:25.320 --> 09:29.680]  And that definitely covers a lot of the different teams that we have.
[09:29.680 --> 09:34.360]  And similarly, that is provided as in a source today.
[09:34.360 --> 09:35.720]  Yeah.
[09:35.720 --> 09:40.840]  So one valid question that you can, of course, ask is why do we care so much about our S-bomb
[09:40.840 --> 09:45.040]  in the first place, and why do we care about them being accurate?
[09:45.040 --> 09:49.960]  There's more reasons than the two I'm going to talk about, but generally, these are the
[09:49.960 --> 09:50.960]  main two for us.
[09:50.960 --> 09:52.680]  So one is security, right?
