[00:00.000 --> 00:11.000]  Good afternoon, everybody. Thanks for coming to our session.
[00:11.000 --> 00:18.000]  Yeah, I don't know. It's on.
[00:18.000 --> 00:25.000]  All right. Okay, so mine, I try to speak loud so that the people even in the rows in the back can understand me.
[00:25.000 --> 00:36.000]  My name is Henrik. That's my colleague Joseph. Both of us are publishing and working on open source dependency management security topics for a couple of years already.
[00:36.000 --> 00:47.000]  And so, yeah, recently we started looking into S-bombs more maybe compliance and topics that we are not so familiar with.
[00:47.000 --> 00:56.000]  So we are looking forward to your questions. All right, so the agenda of our session will be like follows.
[00:56.000 --> 01:04.000]  I think the first session agenda item can be very quick, seeing that you already spent like four hours on that topic.
[01:04.000 --> 01:21.000]  We will then present a small case study where we basically tried to, where we ran different S-bomb generators at different points in time on an open source solution in order to see whether those tools agree on the S-bombs generated,
[01:21.000 --> 01:30.000]  whether the results produced are comparable, whether the results change over time, and to also pinpoint a couple of what we believe are deficiencies.
[01:30.000 --> 01:45.000]  And then Joseph will explain why it is beneficial and helpful to go from the granularity of entire components to the code level to look at functions and methods and call graphs.
[01:45.000 --> 01:55.000]  All right, so that is a software bill of material in the Cyclone DX format, which is one of the, let's say, prominent standards in this space.
[01:55.000 --> 02:00.000]  Cyclone DX has a little bit of a security background. That's why we kind of choose this.
[02:00.000 --> 02:04.000]  It seemed more natural to our previous works.
[02:04.000 --> 02:08.000]  At the very top is kind of the S-bomb format and version.
[02:08.000 --> 02:14.000]  Here in the middle you have the software product for which the S-bomb is generated.
[02:14.000 --> 02:17.000]  Here you have the S-bomb generator tool.
[02:17.000 --> 02:26.000]  We anonymized those solutions. We didn't think it is necessary to point out problems in individual open source solutions,
[02:26.000 --> 02:30.000]  but we wanted to more raise awareness for the general problem of comparability and so forth.
[02:30.000 --> 02:38.000]  And then at the bottom here you have an array of components that the S-bomb generator found in the software analyzed.
[02:38.000 --> 02:46.000]  And of course there will be many, and I highlighted a couple of fields that we will be looking at in much more detail.
[02:46.000 --> 02:53.000]  So there is the name, there is a CPE, there is a Perl, a package URL, or a group and a version.
[02:53.000 --> 03:02.000]  So these are all different fields belonging to naming schemes in order to describe or identify the component that was found.
[03:02.000 --> 03:10.000]  And then they have properties that can be all kind of proprietary properties the S-bomb generator decided to include.
[03:10.000 --> 03:13.000]  Why do we need S-bombs?
[03:13.000 --> 03:19.000]  I think in the interest of time I just skip this altogether and go to the case study right away.
[03:19.000 --> 03:27.000]  The idea of this, the motivation for this came basically by reading through a couple of documents.
[03:27.000 --> 03:33.000]  The first, and I have cited them here at the bottom, is a research paper that was done recently.
[03:33.000 --> 03:36.000]  There is I think a couple of interviews and surveys.
[03:36.000 --> 03:44.000]  And there were some statements from the survey participants who said that an S-bomb is not something that is static, that you create at a given point in time,
[03:44.000 --> 03:51.000]  and then you assume it to be stable, but that is something that is evolving throughout the software development lifecycle.
[03:51.000 --> 03:58.000]  And then a corresponding information is also provided in this guidance from the NTIA,
[03:58.000 --> 04:03.000]  the minimum elements for a software bill of materials on pages 6 to 7 they say,
[04:03.000 --> 04:09.000]  you can generate an S-bomb at different points on the sources, after the build, maybe at the docker image,
[04:09.000 --> 04:14.000]  and the S-bomb should actually contain this information when it has been created.
[04:14.000 --> 04:17.000]  That would be important for the consumer.
[04:17.000 --> 04:25.000]  So we looked at different S-bomb generators and then of course, but in order to do a proper comparison,
[04:25.000 --> 04:28.000]  we need to kind of a software to be analyzed.
[04:28.000 --> 04:39.000]  And so as sample software, we have chosen Eclipse Steady, which is a security solution that I've been contributing to over many years,
[04:39.000 --> 04:45.000]  so one that I know very well because I thought that would be helpful to understand the quality of what is generated.
[04:45.000 --> 04:50.000]  In particular, we looked at one of the modules of that solution.
[04:50.000 --> 04:55.000]  It's a spring boot REST service that is developed with Java and Maven.
[04:55.000 --> 05:01.000]  It will be deployed using a docker image that is downloadable from Docker Hub.
[05:01.000 --> 05:11.000]  And the ground truth, which is the information that we will take later on to say whether the S-bomb generators perform good or bad,
[05:11.000 --> 05:13.000]  is what you see here.
[05:13.000 --> 05:17.000]  So there are 114 compile time dependencies.
[05:17.000 --> 05:21.000]  So they are required for compiling the Java sources to runtime dependencies.
[05:21.000 --> 05:25.000]  They should be present where the production software runs.
[05:25.000 --> 05:30.000]  There are 41 test dependencies, JUnit and other stuff.
[05:30.000 --> 05:32.000]  Good.
[05:32.000 --> 05:39.000]  Before showing the results or walking through the results, a little bit of background because that is very important.
[05:39.000 --> 05:42.000]  How do we name those components, right?
[05:42.000 --> 05:48.000]  And it is important to understand there are context-specific component identifiers.
[05:48.000 --> 05:51.000]  So, for example, Maven.
[05:51.000 --> 05:53.000]  So Maven coordinates.
[05:53.000 --> 05:55.000]  This is what is used by the Java developers.
[05:55.000 --> 06:01.000]  It is consisting of a group identifier, artifact identifier and a version.
