[00:00.000 --> 00:02.060]  you
[00:30.000 --> 00:46.560]  Hello everyone, I am Nizamuddin and I am with Ankush so we are here to cover a little
[00:46.560 --> 00:54.000]  about operating step from the step dashboard past present and future since we couldn't give
[00:54.000 --> 00:58.280]  the presentation live we are recording this separately so this is a two-part presentation
[00:58.280 --> 01:07.400]  the second part will be covered by Ankush so the part one will include the introduction
[01:07.400 --> 01:13.960]  why and who needs a dashboard the history the architecture of the dashboard the key features
[01:13.960 --> 01:19.920]  that we delivered on QnC then the road map to the reef release and I'll try to cover a short
[01:19.920 --> 01:27.160]  demo as well so just a brief intro on myself I started my career at Red Hat as an intent
[01:27.160 --> 01:32.520]  at the time I was working with the Rook and OCS operator later on I became an associate
[01:32.520 --> 01:36.600]  software engineer and got assigned with the step dashboard I've been ever since in the
[01:36.600 --> 01:40.200]  step dashboard team and last year I became the component lead of the step dashboard
[01:40.200 --> 01:44.720]  recently we got moved over to IBM as part of an internal transition and I am now and I am
[01:44.720 --> 01:52.360]  now working as a software engineer at IBM so we all know what a dashboard is right and what I
[01:52.360 --> 01:57.520]  want to cover is what I or what I want to reiterate over here is like why step dashboard is not
[01:57.520 --> 02:05.720]  just a dashboard for safe because step dashboard is not just a tool that is limited to monitoring
[02:05.720 --> 02:14.480]  only step dashboard is a fully-fledged management and monitoring web UI tool it has all the
[02:14.480 --> 02:20.960]  functionalities of management like you know you can manage host OSDs or you know poor management
[02:20.960 --> 02:27.160]  step affairs, IGW, NFS all these kinds of management functionalities are available in the
[02:27.160 --> 02:32.640]  step dashboard then why we didn't change it like why we didn't change the name to step dash from
[02:32.640 --> 02:37.120]  step dashboard to something else right because when it was fine it was initially introduced
[02:37.120 --> 02:43.160]  that's like a long time ago it was just a dashboard we can only do monitoring activities in it
[02:43.160 --> 02:48.840]  then later on with the introduction of the dashboard version 2 things started to change
[02:48.840 --> 02:55.480]  but it was deemed too heavy to replace all the code and documentation references so hence we
[02:55.480 --> 03:04.880]  just kept with the step dashboard name all along so the distributed systems are always complex it's
[03:04.880 --> 03:11.400]  it's not just a single piece of software right it's comprised of a big software ecosystem so if
[03:11.400 --> 03:16.920]  you take the example of step is it's comprised of all these you know software softwares like
[03:16.920 --> 03:26.160]  the rados kernel rbd rgw it's all it's it's it's a compliant system of all these components so
[03:26.160 --> 03:31.240]  to install this you have to scale out and this causes infrastructure and configuration management
[03:31.240 --> 03:38.280]  and also monitoring becomes you know challenging the configuration of step involves around 2000
[03:38.280 --> 03:44.320]  settings which gets incremented on each releases and then the operating on each of these pieces
[03:44.320 --> 03:50.600]  it's like you know it's each of these components has its own CLIs APIs or workflows differences of
[03:50.600 --> 03:56.000]  things right and maintaining the whole cluster again it's a challenge if you want to maintain if
[03:56.000 --> 04:01.840]  you want to do maintenance activity on like one host it can affect the rest of the cluster so a
[04:01.840 --> 04:08.520]  proper maintenance should be holistic and not be restricted to per component monitoring troubleshooting
[04:08.520 --> 04:14.280]  analyzing the issues a request going through or inspecting multiple architectural levels like
[04:14.280 --> 04:24.120]  the hardware networking logs etc also the CF CLI doesn't provide a unified user experience the
[04:24.120 --> 04:32.440]  safe the all these different components has its own CLI safe has the CF CLI rados has the
[04:32.440 --> 04:41.400]  rados CLI rgw has the rados gateway admin rbd then this FATM don't get me wrong CLI is great if
[04:41.400 --> 04:46.200]  you are experienced with CLI then most of the things will be easier right which is a few scripts
[04:46.200 --> 04:52.200]  and you can do wonders with it with you but when you are new into these ecosystems like me it gets
[04:52.200 --> 04:58.280]  complicated like you have to consider many different things and you have to understand many
