[00:00.000 --> 00:16.520]  Thank you.
[00:16.520 --> 00:17.520]  So welcome everyone.
[00:17.520 --> 00:22.720]  We are going to talk about fast disk images checksums.
[00:22.720 --> 00:30.720]  So who am I? I'm a long time contributor to this of the project, and I worked for Red Hat
[00:30.720 --> 00:39.280]  more than nine years on over storage. Who knows, obviously.
[00:39.280 --> 00:44.360]  And I focused on incremental backup, image transfer, and NBD tools.
[00:44.360 --> 00:50.320]  And this project is continuous, the work on fast disk checksum in Ovid that is available
[00:50.320 --> 00:57.680]  for Ovid. So we're going to talk about why do we need disk image checksums, and why we
[00:57.680 --> 01:01.440]  cannot use the standard tools for disk images.
[01:01.440 --> 01:06.760]  And we'll introduce the blockchain command, which is optimized for disk images.
[01:06.760 --> 01:11.320]  And the block cache library, which is used by the blockchain command.
[01:11.320 --> 01:17.960]  And you can also use it in your program. And a good example of this usage is the new
[01:17.960 --> 01:23.920]  checksum command in QMMA image, which is work in progress using the block cache library.
[01:23.920 --> 01:28.240]  Then we see a live demo. We'll play with the tools.
[01:28.240 --> 01:33.880]  And finally, the most important stuff, you can contribute to this project.
[01:33.880 --> 01:40.920]  So what is the issue with disk images? Why the additional than standard images?
[01:40.920 --> 01:47.360]  Let's say we want to upload a disk to, we have this QGAP2 image, usually it's compressed
[01:47.360 --> 01:51.560]  because it's the best format to publish images.
[01:51.560 --> 01:55.240]  And we want to upload it to Ovid, or maybe to OKD.
[01:55.240 --> 02:01.840]  Maybe Simon wants to upload it to OKD, so what we have to do is get the data from the
[02:01.840 --> 02:07.960]  disk image, and we need to upload it to some server on the virtualization system, and this
[02:07.960 --> 02:14.640]  server we write in with some disk. Now the disk can be many things.
[02:14.640 --> 02:22.200]  It can be just NFS server with, and we'll have there look a file similar to the file
[02:22.200 --> 02:29.640]  we uploaded, but not the same. It can be raw sparse image, and it will not be compressed
[02:29.640 --> 02:32.640]  while we have QGAP2 compressed image.
[02:32.640 --> 02:39.680]  Or it can be a small block device if it's Ovid, it can be a small block device just large
[02:39.680 --> 02:51.760]  enough to fit the guest data that we uploaded on some escasi server, or it can be SAS image
[02:51.760 --> 02:58.640]  stored in many nodes, in a cluster, in many disks.
[02:58.640 --> 03:04.240]  So we have very different shapes on the two sides, like disk image on one side, something
[03:04.240 --> 03:11.480]  completely different on the other side, different format, different way of storage.
[03:11.480 --> 03:15.880]  One thing must be the same. The bits must be the same. The guest data must be the same.
[03:15.880 --> 03:20.320]  So if we start the guest with the disk image, or with the virtual disk, we must get the
[03:20.320 --> 03:21.960]  same bits.
[03:21.960 --> 03:28.280]  So we can verify this operation by creating a checksum of the disk image, the guest data
[03:28.280 --> 03:33.680]  inside the disk image, and the guest data inside the virtual disk, whatever the format
[03:33.680 --> 03:39.080]  and shape, and the checksum must be the same.
[03:39.080 --> 03:46.280]  The logic image is mostly the same problem. We have some shape of disk on one side, some
[03:46.280 --> 03:51.520]  shape of disk on the other side, different formats, but the guest data must be the same,
[03:51.520 --> 03:55.520]  and the checksum must be the same.
[03:55.520 --> 04:00.000]  Another interesting problem is incremental backup. In this case, the backup system will
[04:00.000 --> 04:06.040]  only copy, only change blocks on each backup if it wants to be efficient.
[04:06.040 --> 04:12.680]  So let's say two days ago we did a full backup, and we stored it on this full QR2, and this
[04:12.680 --> 04:17.640]  is just one way that we can store the backups. It can be many other things.
[04:17.640 --> 04:23.000]  And yesterday we did another backup, and we stored it in one file, which is sitting on
[04:23.000 --> 04:28.320]  top of the full QR2, and this is the backing file of this file.
[04:28.320 --> 04:32.640]  So we created a chain, and today we did another backup. We copied more data from the virtual
[04:32.640 --> 04:36.520]  disk. We created another layer.
[04:36.520 --> 04:41.960]  So also in this case, the guest data inside the virtual disk must be the same as the guest
[04:41.960 --> 04:46.960]  data inside this entire chain. So if we know how to read the guest data from the entire
[04:46.960 --> 04:52.200]  chain, like a guest does, we can create a checksum, and we can compare it to the checksum
[04:52.200 --> 04:56.920]  of the virtual disk at the time of the backup, and we know if our backup is correct.
[04:56.920 --> 05:04.920]  So if we will restore this chain to another virtual disk, we will get the same data.
[05:04.920 --> 05:11.000]  So what is the issue with the standard tools? Can we use SHA-SUM to create a checksum of
[05:11.000 --> 05:14.760]  this chain?
[05:14.760 --> 05:18.720]  So first we have the issue of image format. Standard tools do not understand image format.
[05:18.720 --> 05:24.760]  So if we have the raw image, everything is fine. But if we have QCAP2 image, which is
[05:24.760 --> 05:32.160]  identical, and here I compare the images, QM image compare, which access the guest data
[05:32.160 --> 05:38.280]  and compare it bit by bit, so the images are identical, but we get different checksum from
[05:38.280 --> 05:46.400]  SHA-SUM. Image compression, even with the same format, both images are QCAP, but one
[05:46.400 --> 05:53.840]  of the compressed will get different checksum, because the host clusters are compressed, and
[05:53.840 --> 05:59.920]  SHA-SUM is looking at the host data, not at the guest data. Even if we have the same image
[05:59.920 --> 06:05.400]  format without compression, everything is the same, right? I just converted one image
[06:05.400 --> 06:13.360]  to the other image, and the images are identical, but we get different checksum. Why? I use
[06:13.360 --> 06:19.920]  the dash w flag, and this allows an order rights. So the order of the cluster on the
[06:19.920 --> 06:28.200]  host can be different. The guest data is the same. Finally, the issue of sparseness. Standard
[06:28.200 --> 06:34.640]  tools do not understand sparseness, so here we have six gigabyte image, but only little
[06:34.640 --> 06:42.400]  more than one gigabyte of data. But SHA-SUM must read the entire image, so it will read
[06:42.400 --> 06:47.760]  this one gigabyte of data, complete a hash from this one gigabyte, and then read almost
[06:47.760 --> 06:53.880]  five gigabyte of zeros, because anything which is not allocated is read the zeros. So it
[06:53.880 --> 07:00.520]  must do a lot of work, which is pretty slow. For example, if we take a bigger image, here
[07:00.520 --> 07:07.480]  I created 100 gigabyte image, but there is no data in this image. It's completely empty,
[07:07.480 --> 07:14.760]  just a big role, and completing your checksum took more than three minutes. So do we really
[07:14.760 --> 07:24.520]  want to use this for one terabyte image? It's not the best tool for this job. And let's
[07:24.520 --> 07:30.240]  introduce the blockchain command, which is optimized for this case. So first it looks
[07:30.240 --> 07:35.640]  just like the standard tools. If you know to use standard tools, you know to use it.
[07:35.640 --> 07:42.600]  Just run it and you get the checksum. It understands your image format, so if you use identical
[07:42.600 --> 07:47.640]  image, you will get the same checksum. Although the images are different. The size is different.
[07:47.640 --> 07:53.280]  They do not look the same on the host. Of course, it supports compressed QCaul, because
[07:53.280 --> 07:59.120]  it reads the QCaul image, which the compressor data, and it gets the actual guest data, so
[07:59.120 --> 08:06.680]  we get the same checksum. And it also supports snapshot. So if I create a snapshot, here
[08:06.680 --> 08:13.520]  I created a snapshot, this snapshot QCaul, on top of the Fedora35 image. Fedora35 is
[08:13.520 --> 08:21.320]  the backing file of your snapshot. And if I compute a checksum of the snapshot, I actually
[08:21.320 --> 08:26.480]  compute a snapshot of the guest data inside the entire chain, not of the tiny snapshot
[08:26.480 --> 08:37.560]  file, which has no data yet. And we also support NVD URL. For example, if I start NVD server,
[08:37.560 --> 08:46.360]  this QMNVD is NVD server. Here I started it, exposing this QCaul2 file using this NVD
[08:46.360 --> 08:51.840]  URL. And if you compute a checksum with the URL, we access QMNVD. I will get the guest
[08:51.840 --> 08:59.160]  data and compute a checksum. And actually, this is the way we always access images. Under
[08:59.160 --> 09:05.160]  the hood, we always run QMNVD and use NVD URL internally to access images. This is the
[09:05.160 --> 09:14.000]  reason it works. We also support reading for pipe, like the standard tools, but in this
