[00:00.000 --> 00:19.920]  We're starting.
[00:19.920 --> 00:24.680]  My name is Andy and I'm here to say we're talking garbage collectors in a really great
[00:24.680 --> 00:25.680]  way.
[00:25.680 --> 00:30.200]  This is my talk about WhipIt, which is a new garbage collector for Gile.
[00:30.200 --> 00:33.560]  So Gile is an imitation of Scheme, as most people know.
[00:33.560 --> 00:37.480]  But if you looked at it, and you tried to determine its composition, you would notice
[00:37.480 --> 00:41.120]  that there's a big C library that's part of it.
[00:41.120 --> 00:46.920]  And it has an API, like we show, like there's a cons function, which is defined as cons,
[00:46.920 --> 00:50.120]  and it takes some arguments, and it returns a value.
[00:50.120 --> 00:54.560]  And there's a lot of code inside Gile that uses this API, and a lot of code in external
[00:54.560 --> 00:57.760]  projects and files that also use this API.
[00:57.760 --> 01:03.240]  So it's exposed to third-party users.
[01:03.240 --> 01:07.720]  And Gile is a garbage collected language.
[01:07.720 --> 01:11.820]  Data is allocated by the garbage collector, and the garbage collector takes responsibility
[01:11.820 --> 01:13.160]  for freeing it.
[01:13.160 --> 01:14.720]  And how is this going to work?
[01:14.720 --> 01:19.240]  So let's say I cons the value, I'm making a new object, I need to include it in the set
[01:19.240 --> 01:21.160]  of live data, right?
[01:21.160 --> 01:22.840]  So what's a live object?
[01:22.840 --> 01:27.600]  A live object is one of the roots, or anything referred to by a live object.
[01:27.600 --> 01:28.920]  So it's a circular definition.
[01:28.920 --> 01:33.680]  You compute the fixed point of this computation.
[01:33.680 --> 01:36.000]  And how are we going to do this?
[01:36.000 --> 01:38.120]  I'm sorry, I'm getting on to the next slide.
[01:38.120 --> 01:40.360]  So there are actually three strategies we can use here.
[01:40.360 --> 01:45.000]  One, we can ref count values, and you know, we used to laugh at this, but it's coming
[01:45.000 --> 01:47.480]  back in style, actually.
[01:47.480 --> 01:54.440]  Here you could register the location of this value with the runtime, and unregister it
[01:54.440 --> 01:56.040]  at some point when it goes out of scope.
[01:56.040 --> 02:02.080]  And another way we could find this value would be what is called conservative root scanning.
[02:02.080 --> 02:06.240]  And that's what Gile has done for many, many years now.
[02:06.240 --> 02:10.200]  And the idea, I don't know, if this is the first time you're hearing this, this is going
[02:10.200 --> 02:11.200]  to be wild.
[02:11.200 --> 02:14.760]  You know, like your brain's just going to go poof, because you take the stack, right?
[02:14.760 --> 02:16.120]  The machine stack.
[02:16.120 --> 02:19.040]  And you treat every word on it as if, like, it's an integer, you know?
[02:19.040 --> 02:23.640]  But if it's an integer, which is within the range of the objects managed by the heap,
[02:23.640 --> 02:25.880]  then we consider this maybe a pointer.
[02:25.880 --> 02:27.400]  And then we keep those objects alive.
[02:27.400 --> 02:32.400]  So it's conservative in the sense that it doesn't compute the minimal set of live objects.
[02:32.400 --> 02:35.040]  It's an over approximation of the live objects.
[02:35.040 --> 02:37.920]  It seems to work, though, historically.
[02:37.920 --> 02:39.640]  It's not one of those things you have guarantees on.
[02:39.640 --> 02:41.400]  It's very strange.
[02:41.400 --> 02:45.920]  And Gile's very old, 30 years old, I think, today, or not today, but like this year, I
[02:45.920 --> 02:48.880]  think, something like that.
[02:48.880 --> 02:52.400]  We're getting older, also.
[02:52.400 --> 02:57.240]  And since it's very beginning, it had a custom GC, which we inherited from a previous limitation
[02:57.240 --> 03:00.040]  that Gile was based on, SCM.
[03:00.040 --> 03:03.240]  And then in the mid-2000s, we added support for proper P threads.
[03:03.240 --> 03:04.880]  We had other things before.
[03:04.880 --> 03:10.120]  It was a kind of buggy time, because threads and garbage collectors, it's a very tricky
[03:10.120 --> 03:11.120]  thing to get right.
[03:11.120 --> 03:14.280]  And if you just half-hazardly add them together without understanding what you're doing, you
[03:14.280 --> 03:15.520]  can make some bugs.
[03:15.520 --> 03:20.120]  When we switch to a third-party collector called the Bohm-Demmers-Weiser collector, I should
[03:20.120 --> 03:26.720]  have spelled it out here, a lot of these bugs went away, actually, because it takes threads
[03:26.720 --> 03:27.720]  more into account.
[03:27.720 --> 03:30.320]  It's better designed in some ways.
[03:30.320 --> 03:34.720]  And a nice thing when we switch to the Bohm collector is it scans not only stacks, but
[03:34.720 --> 03:38.320]  also static data segments, P thread keys.
[03:38.320 --> 03:41.760]  It tries to find all the roots that it might possibly find.
[03:41.760 --> 03:45.640]  It grovels your system for special magic integers.
[03:45.640 --> 03:51.120]  And actually, with conservative collection, there are some advantages, and some real advantages.
[03:51.120 --> 03:54.360]  It is very nice to program with a conservative garage collector.
[03:54.360 --> 04:00.560]  I work on web browsers, they all have, well, two of the three major ones have precise roots,
[04:00.560 --> 04:02.480]  and it's a pain getting the handles right.
[04:02.480 --> 04:06.560]  And I've had bugs, you know, where you forget to register the location of a value, and everything
[04:06.560 --> 04:10.840]  blows up, but only sometimes, it depends on when the garage collector runs.
[04:10.840 --> 04:14.120]  And it doesn't constrain the compiler, because the compiler doesn't have to keep track, you
[04:14.120 --> 04:20.720]  don't have to make the compiler tell the system about where the values are.
[04:20.720 --> 04:25.560]  And yeah, but on the neighbor side, you might leak values.
[04:25.560 --> 04:28.840]  We don't know to what extent this is a thing.
[04:28.840 --> 04:31.280]  It appears to be fine in practice.
[04:31.280 --> 04:33.040]  We actually don't have a lot of data there.
[04:33.040 --> 04:38.240]  With the advent of 64-bit address spaces, I think it is less of a problem, though.
[04:38.240 --> 04:41.240]  Another issue is we can't move values.
[04:41.240 --> 04:47.600]  If any integer that we ever find during the whole trace of the heap might be a pointer
[04:47.600 --> 04:50.400]  to a value, we can never compact the heap.
[04:50.400 --> 04:56.640]  And this is actually a real, it's a real limitation for us in the sense that we can't
[04:56.640 --> 05:01.800]  use some of the newer, better performing garbage collecting algorithms.
[05:01.800 --> 05:09.640]  And as a technical constraint, it also constrains the garbage collector from changing.
[05:09.640 --> 05:12.640]  It's very difficult to change to one of those garbage collector algorithms now, because
[05:12.640 --> 05:16.600]  we have so much user code, we have so much implementation, and it'll be hard.
[05:16.600 --> 05:21.680]  But whatever I told you, there is actually a better way.
[05:21.680 --> 05:23.680]  Because we thought we were at a local maximum.
[05:23.680 --> 05:27.800]  We couldn't get any better without getting worse for a while.
[05:27.800 --> 05:31.880]  We wouldn't reach that mountaintop without having to descend into the valley.
[05:31.880 --> 05:38.400]  But it turns out that you can have conservative roots and move objects and compact the heap.
[05:38.400 --> 05:43.360]  You can have conservative roots and do a fast bump pointer allocation, which we'll get to
[05:43.360 --> 05:44.360]  in a minute.
[05:44.360 --> 05:50.800]  And you can have conservative roots and eventually possibly add more precision to your scan.
[05:50.800 --> 05:55.080]  And the thing that came along that allowed me to know this was something called Immix.
[05:55.080 --> 06:02.120]  This is a paper that was published in 2008 by Steve Blackburn, his group.
[06:02.120 --> 06:09.560]  And it is a new, well, he characterizes in that paper a new class of fundamental GC algorithms.
[06:09.560 --> 06:14.440]  So you have basically four things you can do when you're doing a GC.
[06:14.440 --> 06:18.880]  You can have what's called mark compact, meaning find the live objects, and then slide them
[06:18.880 --> 06:21.400]  all to one side of the same space.
[06:21.400 --> 06:25.440]  So within the space that you found the objects in, you slide them all to one side.
[06:25.440 --> 06:31.120]  You have mark sweep, find all the objects, and then collect all the holes into, these
[06:31.120 --> 06:34.160]  are the holes that are two words long, and these are the holes that are three words long,
[06:34.160 --> 06:36.160]  and these are the holes, like that, into free lists.
[06:36.160 --> 06:37.160]  This is what it's called.
[06:37.160 --> 06:38.560]  You sweep to a free list.
[06:38.560 --> 06:39.560]  Mark sweep.
[06:39.560 --> 06:43.840]  Evacuation, find all the live objects, and as you find them, you copy them somewhere else.
[06:43.840 --> 06:47.920]  So instead of sliding to part of one space, you get them out of the space entirely.
[06:47.920 --> 06:54.600]  And that's a semi-space, for example, that's a number of different Java collection algorithms.
[06:54.600 --> 06:57.720]  And this other new algorithm is mark region.
[06:57.720 --> 07:02.600]  Find all the holes and bump pointer allocate into them.
[07:02.600 --> 07:07.440]  As you allocate, you sort of sweep across the space, and you allocate in a bump pointer
[07:07.440 --> 07:11.000]  fashion into this hole, and then to that hole, and then to that hole, instead of collecting
[07:11.000 --> 07:12.200]  free lists.
[07:12.200 --> 07:14.520]  And IMIX is one of these new kind of collectors.
[07:14.520 --> 07:18.400]  This is a diagram from the paper, the 2008 paper.
[07:18.400 --> 07:22.880]  IMIX organizes the heap into blocks and lines.
[07:22.880 --> 07:27.600]  Blocks are about 64 kilobytes in size, should be a multiple of the page size, and lines
[07:27.600 --> 07:31.920]  for IMIX are 128 bytes.
[07:31.920 --> 07:37.040]  And as you allocate, here in this diagram, we can see that there are some blocks that
[07:37.040 --> 07:38.040]  are all full.
[07:38.040 --> 07:40.560]  Full block, we don't have to do anything about it.
[07:40.560 --> 07:45.680]  There are some blocks that have some lines which were marked in the previous collection,
[07:45.680 --> 07:48.400]  and some lines that were not marked in the previous collection.
[07:48.400 --> 07:51.520]  The lines that are not marked, a set of contiguous lines, is a hole.
[07:51.520 --> 07:54.160]  You can bump pointer allocate into the holes.
[07:54.160 --> 07:58.380]  Objects can be part of a line, in which case maybe many objects fit in a line.
[07:58.380 --> 08:03.880]  They can span multiple lines, but they can't span blocks, okay?
[08:03.880 --> 08:07.120]  When you allocate, you bump pointer allocate, and you sweep through all the blocks in the
[08:07.120 --> 08:10.040]  system in the course of that GC cycle.
[08:10.040 --> 08:14.520]  When you trace, you mark objects in the same way as a mark sweep collector, so there's
